experiment,distance,recording_count,mean_top1_accuracy,mean_top3_accuracy,mean_top5_accuracy,max_top1_accuracy,max_top3_accuracy,max_top5_accuracy,expected_detection_rate,mean_expected_confidence,median_expected_confidence,mean_confidence_retention,mean_active_window_detection_rate
E1_no_metadata,1ft,20,0.95,1.0,1.0,0.95,0.95,1.0,1.0,0.7795020833333334,0.8980041666666667,1.0,0.9875
E1_no_metadata,4ft,20,1.0,1.0,1.0,0.95,0.95,1.0,1.0,0.81403125,0.9308125,1.156153251852118,0.9875
E1_no_metadata,8ft,20,0.95,1.0,1.0,0.95,1.0,1.0,1.0,0.7113370833333333,0.874125,0.9963954025674585,0.9875
E1_no_metadata,12ft,20,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7408458333333334,0.8245833333333334,1.041586422738076,0.9625
E1_no_metadata,24ft,20,0.95,1.0,1.0,0.95,0.95,1.0,1.0,0.6205708333333334,0.6884666666666667,0.7841673687894459,0.95
E1_no_metadata,36ft,20,0.9,0.9,1.0,0.85,0.9,0.95,1.0,0.5987025,0.6401333333333333,0.7521700068249924,0.95
E1_no_metadata,48ft,20,0.8,0.95,0.95,0.75,0.95,0.95,1.0,0.32590708333333335,0.32286249999999994,0.6383055941395369,0.8083333333333333
E2_week_only,1ft,20,0.95,1.0,1.0,0.95,0.95,1.0,1.0,0.7795020833333334,0.8980041666666667,1.0,0.9875
E2_week_only,4ft,20,1.0,1.0,1.0,0.95,0.95,1.0,1.0,0.81403125,0.9308125,1.156153251852118,0.9875
E2_week_only,8ft,20,0.95,1.0,1.0,0.95,1.0,1.0,1.0,0.7113370833333333,0.874125,0.9963954025674585,0.9875
E2_week_only,12ft,20,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.7408458333333334,0.8245833333333334,1.041586422738076,0.9625
E2_week_only,24ft,20,0.95,1.0,1.0,0.95,0.95,1.0,1.0,0.6205708333333334,0.6884666666666667,0.7841673687894459,0.95
E2_week_only,36ft,20,0.9,0.9,1.0,0.85,0.9,0.95,1.0,0.5987025,0.6401333333333333,0.7521700068249924,0.95
E2_week_only,48ft,20,0.8,0.95,0.95,0.75,0.95,0.95,1.0,0.32590708333333335,0.32286249999999994,0.6383055941395369,0.8083333333333333
E3_location_only,1ft,20,0.95,1.0,1.0,0.95,1.0,1.0,1.0,0.7795270833333333,0.8980041666666667,1.0,1.0
E3_location_only,4ft,20,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.8140375000000001,0.9308125,1.1560810929500158,1.0
E3_location_only,8ft,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7113733333333333,0.874125,0.9963826028073497,1.0
E3_location_only,12ft,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7408970833333333,0.8245833333333334,1.0421991332698104,0.9875
E3_location_only,24ft,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6206820833333333,0.6884666666666667,0.7853094725888584,1.0
E3_location_only,36ft,20,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.59875375,0.6401333333333333,0.7526379736329615,0.9875
E3_location_only,48ft,20,0.9,1.0,1.0,0.9,1.0,1.0,1.0,0.3260733333333333,0.323425,0.6391640667166032,0.8833333333333334
E4_week_and_location,1ft,20,0.95,1.0,1.0,0.95,1.0,1.0,1.0,0.7795270833333333,0.8980041666666667,1.0,1.0
E4_week_and_location,4ft,20,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.8140375000000001,0.9308125,1.1560810929500158,1.0
E4_week_and_location,8ft,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7113733333333333,0.874125,0.9963826028073497,1.0
E4_week_and_location,12ft,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7408970833333333,0.8245833333333334,1.0421991332698104,0.9875
E4_week_and_location,24ft,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6206820833333333,0.6884666666666667,0.7853094725888584,1.0
E4_week_and_location,36ft,20,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.59875375,0.6401333333333333,0.7526379736329615,0.9875
E4_week_and_location,48ft,20,0.9,1.0,1.0,0.9,1.0,1.0,1.0,0.3260733333333333,0.323425,0.6391640667166032,0.8833333333333334
