bird,distance,file,environment_adjusted_snr_db,frequency_distortion_index_db,bandwidth_change_hz,usable_low_edge_change_hz,usable_high_edge_change_hz
Lesser Goldfinch,36ft,Lesser_Goldfinch_36ft.wav,-26.058275838697632,4.498310297634884,-89.38977001896001,-246.1750875074381,-335.56485752639765
House Finch,48ft,House_Finch_48ft.wav,-11.25463394108065,5.488634397729984,-301.6277508590406,-190.64465369784511,-492.2724045568857
Northern Mockingbird,48ft,Northern_Mockingbird_48ft.wav,-11.144009694815232,6.582510616693215,-47.30416238604448,-322.1136438094736,-369.4178061955181
Anna's Hummingbird,48ft,Anna_s_Hummingbird_48ft.wav,-7.825937952083606,5.359113561130117,-864.7722504107114,-494.4894514790126,-1359.2617018897236
California Towhee,48ft,California_Towhee_48ft.wav,-7.431496500469042,11.958109963799483,1165.469229187067,-1157.0284119115258,8.440817275541121
Oak Titmouse,48ft,Oak_Titmouse_48ft.wav,-7.211106389423092,6.4562939963240416,399.0791548728598,-513.9383523880531,-114.85919751519305
Dark-eyed Junco,48ft,Dark_eyed_Junco_48ft.wav,-6.457917585830374,4.722743775170233,334.3342812703909,-289.8186570020493,44.515624268341526
Spotted Towhee,48ft,Spotted_Towhee_48ft.wav,-6.09175104079648,7.921757019829305,1013.0479939679304,-781.8923746013561,231.15561936657468
Northern Yellow Warbler,48ft,Northern_Yellow_Warbler_48ft.wav,-3.497041825278079,7.347341161498538,-379.6423457550022,-309.8829492275495,-689.5252949825517
Black Phoebe,36ft,Black_Phoebe_36ft.wav,-0.7850263039371862,3.31591968907468,129.32830408392874,-63.33577992494975,65.992524158979
Dark-eyed Junco,36ft,Dark_eyed_Junco_36ft.wav,-0.5035647105493797,3.806427684906815,-71.89489733575738,-123.75289264212188,-195.64778997787928
California Towhee,36ft,California_Towhee_36ft.wav,0.8428526601761471,3.882489121215527,-564.6868403436929,266.9315211565181,-297.7553191871748
Oak Titmouse,12ft,Oak_Titmouse_12ft.wav,1.6289306900518397,5.658332356750189,8.917734704461509,-22.73894946643213,-13.821214761970625
Anna's Hummingbird,36ft,Annas_Hummingbird_36ft.wav,2.216408449733367,6.028628045506833,-2038.3534719623883,121.78366818567248,-1916.569803776716
Northern Yellow Warbler,36ft,Northern_Yellow_Warbler_36ft.wav,2.51502469507169,4.443307709706397,23.084426207808065,-30.908776150096852,-7.824349942288791
Hooded Oriole,24ft,Hooded_Oriole_24ft.wav,2.583883674597694,5.268904117990464,-526.293512553224,70.54305458938666,-455.7504579638371
Northern Yellow Warbler,24ft,Northern_Yellow_Warbler_24ft.wav,3.006554698237224,4.429879895773329,-18.841233972222653,44.5238856272972,25.68265165507455
Black Phoebe,24ft,Black_Phoebe_24ft.wav,3.0300991137914077,3.588929012707497,81.0171822595139,-28.15822170431693,52.85896055519697
California Towhee,24ft,California_Towhee_24ft.wav,3.0562423361211604,4.542964458025998,-76.30368067705467,36.57148892718078,-39.73219174987389
American Robin,36ft,American_Robin_36ft.wav,3.263726271180631,4.567888062743781,-33.34482842727812,-67.2876312831495,-100.6324597104276
Song Sparrow,36ft,Song_Sparrow_36ft.wav,4.215946847201478,4.997075927442388,10.223472133353424,-28.43224101525493,-18.20876888190196
Northern House Wren,36ft,Northern_House_Wren_36ft.wav,4.2503273527990935,4.59204909479119,-538.793267103274,-24.83905165147462,-563.6323187547496
Lesser Goldfinch,24ft,Lesser_Goldfinch_24ft.wav,4.467867206811136,4.228356270831228,11.803698741297012,-234.9153549383668,-223.11165619706932
Anna's Hummingbird,24ft,Annas_Hummingbird_24ft.wav,4.592344195264602,5.200086109579956,-1704.8613064520105,73.68949922024012,-1631.1718072317708
Dark-eyed Junco,24ft,Dark_eyed_Junco_24ft.wav,4.64501961812475,4.179463910032323,-106.41914594170794,-137.9363036145287,-244.35544955623664
European Starling,36ft,European_Starling_36ft.wav,4.702143679877745,4.759354888894466,-579.1699266181813,161.20817336300138,-417.96175325518016
Barn Swallow,36ft,Barn_Swallow_36ft.wav,4.709410927909984,3.9936060985958535,-504.6692461914745,22.554106396115685,-482.115139795359
Bewick's Wren,24ft,Bewicks_Wren_24ft.wav,4.917680552729678,4.342375387271735,311.4294887140659,-215.9716274556431,95.45786125842278
House Sparrow,36ft,House_Sparrow_36ft.wav,5.1337563911793485,4.064211718202306,-105.60638405428836,2.8238438088992552,-102.7825402453891
European Starling,24ft,European_Starling_24ft.wav,5.334591395904492,4.789159464969273,-107.92796079592244,42.24314056007893,-65.68482023584329
Oak Titmouse,36ft,Oak_Titmouse_36ft.wav,5.363127496759814,5.600197808910273,-73.97258486892633,-43.89719827372164,-117.86978314264798
Song Sparrow,24ft,Song_Sparrow_24ft.wav,5.43520541905788,4.8692206374395655,57.483752012453806,-51.21720171619063,6.2665502962627215
Bewick's Wren,36ft,Bewicks_Wren_36ft.wav,5.68065841903108,4.433448492649415,-66.80704635624124,-45.27796768128746,-112.08501403752872
Spotted Towhee,36ft,Spotted_Towhee_36ft.wav,6.24620939407791,5.846838991999916,-198.4813547353133,128.64877381952283,-69.83258091579046
Northern Yellow Warbler,12ft,Northern_Yellow_Warbler_12ft.wav,6.594159822604695,4.925502737084253,-8.18496645513369,-107.0136948119516,-115.1986612670853
Barn Swallow,24ft,Barn_Swallow_24ft.wav,6.960001344158103,4.243425562476554,-836.9742400836944,-27.90295185664627,-864.8771919403407
American Robin,24ft,American_Robin_24ft.wav,7.2422517501908334,4.653475948272872,-128.5018515430461,14.177871207188218,-114.32398033585788
House Finch,36ft,House_Finch_36ft.wav,7.375528535870917,5.141823658044386,-33.82916562499713,-94.85413001903316,-128.6832956440303
House Sparrow,24ft,House_Sparrow_24ft.wav,7.575395232300147,4.454127527279833,-174.04203936540716,-23.69816133550694,-197.7402007009141
Spotted Towhee,24ft,Spotted_Towhee_24ft.wav,7.681079623619449,4.57124198832854,-301.53102406761855,116.38213051700632,-185.14889355061223
Northern House Wren,24ft,Northern_House_Wren_24ft.wav,8.543841034248924,4.116544632140719,-435.6588807027638,-33.42662241879407,-469.0855031215588
Northern Mockingbird,36ft,Northern_Mockingbird_36ft.wav,8.551881680682742,4.274042907366261,-76.66737173044748,-40.51352698078063,-117.18089871122812
Hooded Oriole,12ft,Hooded_Oriole_12ft.wav,8.724132226567036,5.962632031972982,-567.523290567522,50.946497384443546,-516.5767931830787
Oak Titmouse,24ft,Oak_Titmouse_24ft.wav,9.35201413709988,6.253277198265862,-274.1148054806804,77.55509701196206,-196.55970846871836
Northern Mockingbird,24ft,Northern_Mockingbird_24ft.wav,9.54942851848636,4.343283618913515,-340.79387676356146,-21.47579891399073,-362.2696756775522
Anna's Hummingbird,12ft,Annas_Hummingbird_12ft.wav,9.922626477892637,5.512250372193434,-2058.5453955842304,369.5023359964389,-1689.0430595877915
House Finch,24ft,House_Finch_24ft.wav,10.00383378149834,5.240317749709876,-365.3249806905392,-40.294021525616245,-405.6190022161554
