Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf,branch,experiment,file,expected,species,species_key,expected_key,confidence,start_s,end_s
0.0,3.0,Turdus migratorius,American Robin,0.8584,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,American Robin,americanrobin,americanrobin,0.8584,0.0,3.0
0.0,3.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0574,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Black-headed Grosbeak,blackheadedgrosbeak,americanrobin,0.0574,0.0,3.0
0.0,3.0,Piranga flava,Hepatic Tanager,0.0205,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Hepatic Tanager,hepatictanager,americanrobin,0.0205,0.0,3.0
0.0,3.0,Turdus pelios,African Thrush,0.0103,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,African Thrush,africanthrush,americanrobin,0.0103,0.0,3.0
0.0,3.0,Turdus amaurochalinus,Creamy-bellied Thrush,0.0053,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Creamy-bellied Thrush,creamybelliedthrush,americanrobin,0.0053,0.0,3.0
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0038,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Northern Mockingbird,northernmockingbird,americanrobin,0.0038,0.0,3.0
0.0,3.0,Piranga rubra,Summer Tanager,0.0038,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Summer Tanager,summertanager,americanrobin,0.0038,0.0,3.0
0.0,3.0,Turdus philomelos,Song Thrush,0.0035,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Song Thrush,songthrush,americanrobin,0.0035,0.0,3.0
0.0,3.0,Pheucticus aureoventris,Black-backed Grosbeak,0.002,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Black-backed Grosbeak,blackbackedgrosbeak,americanrobin,0.002,0.0,3.0
0.0,3.0,Turdus ignobilis,Black-billed Thrush,0.0019,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Black-billed Thrush,blackbilledthrush,americanrobin,0.0019,0.0,3.0
0.0,3.0,Pheucticus chrysogaster,Golden Grosbeak,0.0017,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Golden Grosbeak,goldengrosbeak,americanrobin,0.0017,0.0,3.0
0.0,3.0,Turdus infuscatus,Black Thrush,0.0014,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Black Thrush,blackthrush,americanrobin,0.0014,0.0,3.0
0.0,3.0,Pheucticus ludovicianus,Rose-breasted Grosbeak,0.0013,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Rose-breasted Grosbeak,rosebreastedgrosbeak,americanrobin,0.0013,0.0,3.0
0.0,3.0,Habia rubica,Red-crowned Ant-Tanager,0.0012,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Red-crowned Ant-Tanager,redcrownedanttanager,americanrobin,0.0012,0.0,3.0
0.0,3.0,Myadestes townsendi,Townsend's Solitaire,0.0008,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Townsend's Solitaire,townsendssolitaire,americanrobin,0.0008,0.0,3.0
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0008,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Black-throated Gray Warbler,blackthroatedgraywarbler,americanrobin,0.0008,0.0,3.0
0.0,3.0,Icterus galbula,Baltimore Oriole,0.0007,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Baltimore Oriole,baltimoreoriole,americanrobin,0.0007,0.0,3.0
0.0,3.0,Molothrus ater,Brown-headed Cowbird,0.0006,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Brown-headed Cowbird,brownheadedcowbird,americanrobin,0.0006,0.0,3.0
