branch,experiment,file,expected,start_s,end_s,target_detected,target_rank,target_confidence,strongest_competitor_confidence,target_margin,top1_prediction,top1_confidence,correct_top1,correct_top3,correct_top5
without_harmonics,E1_no_metadata,American Robin.wav,American Robin,0.0,3.0,True,1.0,0.8584,0.0574,0.801,American Robin,0.8584,True,True,True
without_harmonics,E1_no_metadata,American Robin.wav,American Robin,3.0,6.0,True,1.0,0.9531,0.021,0.9320999999999999,American Robin,0.9531,True,True,True
without_harmonics,E1_no_metadata,American Robin.wav,American Robin,6.0,9.0,True,1.0,0.981,0.1087,0.8723,American Robin,0.981,True,True,True
without_harmonics,E1_no_metadata,American Robin.wav,American Robin,9.0,10.0,True,1.0,0.7444,0.2986,0.4458,American Robin,0.7444,True,True,True
without_harmonics,E1_no_metadata,Anna's Hummingbird.wav,Anna's Hummingbird,0.0,3.0,True,1.0,0.9925,0.0062,0.9863000000000001,Anna's Hummingbird,0.9925,True,True,True
without_harmonics,E1_no_metadata,Anna's Hummingbird.wav,Anna's Hummingbird,3.0,6.0,True,1.0,0.9953,0.0384,0.9569,Anna's Hummingbird,0.9953,True,True,True
without_harmonics,E1_no_metadata,Anna's Hummingbird.wav,Anna's Hummingbird,6.0,9.0,True,1.0,0.9963,0.0296,0.9667,Anna's Hummingbird,0.9963,True,True,True
without_harmonics,E1_no_metadata,Anna's Hummingbird.wav,Anna's Hummingbird,9.0,10.0,True,1.0,0.992,0.1583,0.8337,Anna's Hummingbird,0.992,True,True,True
without_harmonics,E1_no_metadata,Barn Sparrow.wav,Barn Sparrow,0.0,3.0,False,,0.0,0.9997,-0.9997,Barn Swallow,0.9997,False,False,False
without_harmonics,E1_no_metadata,Barn Sparrow.wav,Barn Sparrow,3.0,6.0,False,,0.0,0.9958,-0.9958,Barn Swallow,0.9958,False,False,False
without_harmonics,E1_no_metadata,Barn Sparrow.wav,Barn Sparrow,6.0,9.0,False,,0.0,0.9941,-0.9941,Barn Swallow,0.9941,False,False,False
without_harmonics,E1_no_metadata,Barn Sparrow.wav,Barn Sparrow,9.0,10.0,False,,0.0,0.1329,-0.1329,Necklaced Spinetail,0.1329,False,False,False
without_harmonics,E1_no_metadata,Bewick's Wren.wav,Bewick's Wren,0.0,3.0,True,1.0,0.9031,0.4181,0.485,Bewick's Wren,0.9031,True,True,True
without_harmonics,E1_no_metadata,Bewick's Wren.wav,Bewick's Wren,3.0,6.0,False,,0.0,0.0063,-0.0063,Engine,0.0063,False,False,False
without_harmonics,E1_no_metadata,Bewick's Wren.wav,Bewick's Wren,6.0,9.0,False,,0.0,0.0068,-0.0068,Engine,0.0068,False,False,False
without_harmonics,E1_no_metadata,Bewick's Wren.wav,Bewick's Wren,9.0,10.0,False,,0.0,0.0068,-0.0068,Engine,0.0068,False,False,False
without_harmonics,E1_no_metadata,Black Phoebe.wav,Black Phoebe,0.0,3.0,True,1.0,0.9892,0.0148,0.9743999999999999,Black Phoebe,0.9892,True,True,True
without_harmonics,E1_no_metadata,Black Phoebe.wav,Black Phoebe,3.0,6.0,True,1.0,0.9968,0.0052,0.9916,Black Phoebe,0.9968,True,True,True
without_harmonics,E1_no_metadata,Black Phoebe.wav,Black Phoebe,6.0,9.0,True,1.0,0.9914,0.0093,0.9821,Black Phoebe,0.9914,True,True,True
without_harmonics,E1_no_metadata,Black Phoebe.wav,Black Phoebe,9.0,10.0,True,1.0,0.9954,0.0115,0.9839,Black Phoebe,0.9954,True,True,True
without_harmonics,E1_no_metadata,California Towhee.wav,California Towhee,0.0,3.0,True,1.0,0.9778,0.0779,0.8999,California Towhee,0.9778,True,True,True
without_harmonics,E1_no_metadata,California Towhee.wav,California Towhee,3.0,6.0,False,,0.0,0.0068,-0.0068,Engine,0.0068,False,False,False
without_harmonics,E1_no_metadata,California Towhee.wav,California Towhee,6.0,9.0,True,1.0,0.9697,0.0043,0.9654,California Towhee,0.9697,True,True,True
without_harmonics,E1_no_metadata,California Towhee.wav,California Towhee,9.0,10.0,False,,0.0,0.0068,-0.0068,Engine,0.0068,False,False,False
without_harmonics,E1_no_metadata,Hooded Oriole.wav,Hooded Oriole,0.0,3.0,True,1.0,0.9995,0.1976,0.8019000000000001,Hooded Oriole,0.9995,True,True,True
without_harmonics,E1_no_metadata,Hooded Oriole.wav,Hooded Oriole,3.0,6.0,True,1.0,0.9802,0.488,0.49219999999999997,Hooded Oriole,0.9802,True,True,True
without_harmonics,E1_no_metadata,Hooded Oriole.wav,Hooded Oriole,6.0,9.0,True,1.0,0.9983,0.3714,0.6269,Hooded Oriole,0.9983,True,True,True
without_harmonics,E1_no_metadata,Hooded Oriole.wav,Hooded Oriole,9.0,10.0,True,2.0,0.3636,0.5979,-0.2343,Western Tanager,0.5979,False,True,True
without_harmonics,E1_no_metadata,House Finch.wav,House Finch,0.0,3.0,True,1.0,0.1601,0.1209,0.0392,House Finch,0.1601,True,True,True
without_harmonics,E1_no_metadata,House Finch.wav,House Finch,3.0,6.0,True,6.0,0.034,0.1063,-0.0723,Thekla's Lark,0.1063,False,False,False
without_harmonics,E1_no_metadata,House Finch.wav,House Finch,6.0,9.0,True,3.0,0.0413,0.0593,-0.017999999999999995,Sagebrush Sparrow,0.0593,False,True,True
without_harmonics,E1_no_metadata,House Finch.wav,House Finch,9.0,10.0,False,,0.0,0.0068,-0.0068,Engine,0.0068,False,False,False
without_harmonics,E1_no_metadata,House Sparrow.wav,House Sparrow,0.0,3.0,True,1.0,0.6594,0.4538,0.2056,House Sparrow,0.6594,True,True,True
without_harmonics,E1_no_metadata,House Sparrow.wav,House Sparrow,3.0,6.0,True,1.0,0.391,0.195,0.196,House Sparrow,0.391,True,True,True
without_harmonics,E1_no_metadata,House Sparrow.wav,House Sparrow,6.0,9.0,True,2.0,0.4448,0.5362,-0.09140000000000004,Italian Sparrow,0.5362,False,True,True
without_harmonics,E1_no_metadata,House Sparrow.wav,House Sparrow,9.0,10.0,True,2.0,0.2942,0.6497,-0.35550000000000004,Sickle-winged Chat,0.6497,False,True,True
without_harmonics,E1_no_metadata,Lesser Goldfinch.wav,Lesser Goldfinch,0.0,3.0,True,2.0,0.1869,0.2941,-0.10719999999999996,Hooded Siskin,0.2941,False,True,True
without_harmonics,E1_no_metadata,Lesser Goldfinch.wav,Lesser Goldfinch,3.0,6.0,True,3.0,0.0909,0.3273,-0.2364,Lazuli Bunting,0.3273,False,True,True
without_harmonics,E1_no_metadata,Lesser Goldfinch.wav,Lesser Goldfinch,6.0,9.0,True,1.0,0.5148,0.046,0.46880000000000005,Lesser Goldfinch,0.5148,True,True,True
without_harmonics,E1_no_metadata,Lesser Goldfinch.wav,Lesser Goldfinch,9.0,10.0,True,6.0,0.0081,0.7082,-0.7001000000000001,American Goldfinch,0.7082,False,False,False
without_harmonics,E1_no_metadata,Northern House Wren.wav,Northern House Wren,0.0,3.0,False,,0.0,0.9904,-0.9904,House Wren,0.9904,False,False,False
without_harmonics,E1_no_metadata,Northern House Wren.wav,Northern House Wren,3.0,6.0,False,,0.0,0.3039,-0.3039,Marsh Wren,0.3039,False,False,False
without_harmonics,E1_no_metadata,Northern House Wren.wav,Northern House Wren,6.0,9.0,False,,0.0,0.9908,-0.9908,House Wren,0.9908,False,False,False
without_harmonics,E1_no_metadata,Northern House Wren.wav,Northern House Wren,9.0,10.0,False,,0.0,0.0068,-0.0068,Engine,0.0068,False,False,False
without_harmonics,E1_no_metadata,Northern Mockingbird.wav,Northern Mockingbird,0.0,3.0,True,17.0,0.0065,0.1109,-0.10439999999999999,Tawny Lark,0.1109,False,False,False
without_harmonics,E1_no_metadata,Northern Mockingbird.wav,Northern Mockingbird,3.0,6.0,True,3.0,0.0318,0.2227,-0.19090000000000001,Rock Wren,0.2227,False,True,True
without_harmonics,E1_no_metadata,Northern Mockingbird.wav,Northern Mockingbird,6.0,9.0,True,11.0,0.0098,0.3731,-0.3633,Wood Lark,0.3731,False,False,False
without_harmonics,E1_no_metadata,Northern Mockingbird.wav,Northern Mockingbird,9.0,10.0,False,,0.0,0.7175,-0.7175,Wrentit,0.7175,False,False,False
without_harmonics,E1_no_metadata,Northern Yellow Warbler.wav,Northern Yellow Warbler,0.0,3.0,False,,0.0,0.0068,-0.0068,Engine,0.0068,False,False,False
without_harmonics,E1_no_metadata,Northern Yellow Warbler.wav,Northern Yellow Warbler,3.0,6.0,False,,0.0,0.9434,-0.9434,Yellow Warbler,0.9434,False,False,False
without_harmonics,E1_no_metadata,Northern Yellow Warbler.wav,Northern Yellow Warbler,6.0,9.0,False,,0.0,0.1853,-0.1853,American Redstart,0.1853,False,False,False
without_harmonics,E1_no_metadata,Northern Yellow Warbler.wav,Northern Yellow Warbler,9.0,10.0,False,,0.0,0.0068,-0.0068,Engine,0.0068,False,False,False
without_harmonics,E1_no_metadata,Oak Titmouse.wav,Oak Titmouse,0.0,3.0,True,2.0,0.5813,0.8901,-0.30879999999999996,Juniper Titmouse,0.8901,False,True,True
without_harmonics,E1_no_metadata,Oak Titmouse.wav,Oak Titmouse,3.0,6.0,True,1.0,0.9969,0.0175,0.9794,Oak Titmouse,0.9969,True,True,True
without_harmonics,E1_no_metadata,Oak Titmouse.wav,Oak Titmouse,6.0,9.0,True,1.0,0.9977,0.0595,0.9382,Oak Titmouse,0.9977,True,True,True
