experiment,without_file,expected,without_analysis_windows,without_target_detected,without_target_detection_windows,without_target_detection_rate,without_target_max_confidence,without_target_mean_confidence_all_windows,without_target_best_rank,without_top1_window_rate,without_top3_window_rate,without_top5_window_rate,without_target_best_margin,without_target_mean_margin,without_strongest_competitor_max_confidence,with_file,with_analysis_windows,with_target_detected,with_target_detection_windows,with_target_detection_rate,with_target_max_confidence,with_target_mean_confidence_all_windows,with_target_best_rank,with_top1_window_rate,with_top3_window_rate,with_top5_window_rate,with_target_best_margin,with_target_mean_margin,with_strongest_competitor_max_confidence,target_max_confidence_difference,target_mean_confidence_difference,target_detection_rate_difference,top1_window_rate_difference,top3_window_rate_difference,top5_window_rate_difference,target_mean_margin_difference,preferred_branch,decision_reason
E1_no_metadata,American Robin.wav,American Robin,4,True,4,1.0,0.981,0.884225,1.0,1.0,1.0,1.0,0.9320999999999999,0.7627999999999999,0.2986,American Robin.wav,4,True,4,1.0,0.9881,0.9319,1.0,1.0,1.0,1.0,0.9748,0.8420750000000001,0.2729,0.007099999999999995,0.04767499999999991,0.0,0.0,0.0,0.0,0.0792750000000002,with_harmonics,meaningfully higher mean target confidence
E1_no_metadata,Anna's Hummingbird.wav,Anna's Hummingbird,4,True,4,1.0,0.9963,0.9940249999999999,1.0,1.0,1.0,1.0,0.9863000000000001,0.9359,0.1583,Anna's Hummingbird.wav,4,True,4,1.0,0.9997,0.998475,1.0,1.0,1.0,1.0,0.9976,0.9944,0.0067,0.0034000000000000696,0.004450000000000065,0.0,0.0,0.0,0.0,0.058499999999999996,with_harmonics,better separation from competing species
E1_no_metadata,Barn Sparrow.wav,Barn Sparrow,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.1329,-0.780625,0.9997,Barn Sparrow.wav,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.1888,-0.796675,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,-0.01605000000000001,no_meaningful_difference,top-k rates and confidence differences are approximately equivalent
E1_no_metadata,Bewick's Wren.wav,Bewick's Wren,4,True,1,0.25,0.9031,0.225775,1.0,0.25,0.25,0.25,0.485,0.11627500000000002,0.4181,Bewick's Wren.wav,4,True,1,0.25,0.892,0.223,1.0,0.25,0.25,0.25,0.6264000000000001,0.151625,0.2656,-0.011099999999999999,-0.0027749999999999997,0.0,0.0,0.0,0.0,0.03534999999999999,with_harmonics,better separation from competing species
E1_no_metadata,Black Phoebe.wav,Black Phoebe,4,True,4,1.0,0.9968,0.9932,1.0,1.0,1.0,1.0,0.9916,0.9830000000000001,0.0148,Black Phoebe.wav,4,True,4,1.0,0.9995,0.99895,1.0,1.0,1.0,1.0,0.9976,0.9967999999999999,0.004,0.0027000000000000357,0.005750000000000033,0.0,0.0,0.0,0.0,0.013799999999999812,no_meaningful_difference,top-k rates and confidence differences are approximately equivalent
E1_no_metadata,California Towhee.wav,California Towhee,4,True,2,0.5,0.9778,0.486875,1.0,0.5,0.5,0.5,0.9654,0.46292500000000003,0.0779,California Towhee.wav,4,True,2,0.5,0.9996,0.4993,1.0,0.5,0.5,0.5,0.9961000000000001,0.49302500000000005,0.01,0.02180000000000004,0.01242500000000002,0.0,0.0,0.0,0.0,0.030100000000000016,with_harmonics,meaningfully higher maximum target confidence
E1_no_metadata,Hooded Oriole.wav,Hooded Oriole,4,True,4,1.0,0.9995,0.8353999999999999,1.0,0.75,1.0,1.0,0.8019000000000001,0.421675,0.5979,Hooded Oriole.wav,4,True,4,1.0,0.9999,0.964,1.0,1.0,1.0,1.0,0.9538,0.6084499999999999,0.6502,0.00039999999999995595,0.12860000000000005,0.0,0.25,0.0,0.0,0.1867749999999999,with_harmonics,higher target top-1 window rate
E1_no_metadata,House Finch.wav,House Finch,4,True,3,0.75,0.1601,0.05885,1.0,0.25,0.5,0.5,0.0392,-0.014475,0.1209,House Finch.wav,4,True,3,0.75,0.8753,0.432325,1.0,0.75,0.75,0.75,0.8436,0.40715000000000007,0.0352,0.7152,0.373475,0.0,0.5,0.25,0.25,0.4216250000000001,with_harmonics,higher target top-1 window rate
E1_no_metadata,House Sparrow.wav,House Sparrow,4,True,4,1.0,0.6594,0.44735,1.0,0.5,1.0,1.0,0.2056,-0.011325000000000016,0.6497,House Sparrow.wav,4,True,4,1.0,0.7496,0.5643250000000001,1.0,0.75,1.0,1.0,0.29810000000000003,0.11837500000000002,0.6308,0.09020000000000006,0.11697500000000005,0.0,0.25,0.0,0.0,0.12970000000000004,with_harmonics,higher target top-1 window rate
E1_no_metadata,Lesser Goldfinch.wav,Lesser Goldfinch,4,True,4,1.0,0.5148,0.200175,1.0,0.25,0.75,0.75,0.46880000000000005,-0.143725,0.7082,Lesser Goldfinch.wav,4,True,4,1.0,0.5837,0.28625,1.0,0.75,0.75,1.0,0.4464,-0.0656,0.7464,0.06889999999999996,0.08607500000000001,0.0,0.5,0.0,0.25,0.07812499999999999,with_harmonics,higher target top-1 window rate
