expected,with_harmonics_votes,without_harmonics_votes,no_difference_votes,mean_top1_window_rate_difference,mean_target_max_confidence_difference,mean_target_confidence_difference,overall_preferred_branch,overall_decision_reason
American Robin,4,0,0,0.0,0.007099999999999995,0.04767499999999991,with_harmonics,won more metadata experiments
Anna's Hummingbird,2,0,2,0.0,0.0034000000000000696,0.004450000000000065,with_harmonics,won more metadata experiments
Barn Sparrow,0,0,4,0.0,0.0,0.0,no_meaningful_difference,no consistent or meaningful advantage across experiments
Bewick's Wren,4,0,0,0.0,-0.011099999999999999,-0.0027749999999999997,with_harmonics,won more metadata experiments
Black Phoebe,0,0,4,0.0,0.0027000000000000357,0.005750000000000033,no_meaningful_difference,no consistent or meaningful advantage across experiments
California Towhee,4,0,0,0.0,0.02180000000000004,0.01242500000000002,with_harmonics,won more metadata experiments
Hooded Oriole,4,0,0,0.25,0.00039999999999995595,0.12860000000000005,with_harmonics,won more metadata experiments
House Finch,4,0,0,0.25,0.7152,0.373475,with_harmonics,won more metadata experiments
House Sparrow,4,0,0,0.125,0.09020000000000006,0.11697500000000005,with_harmonics,won more metadata experiments
Lesser Goldfinch,4,0,0,0.375,0.06889999999999996,0.08607500000000001,with_harmonics,won more metadata experiments
Northern House Wren,0,0,4,0.0,0.0,0.0,no_meaningful_difference,no consistent or meaningful advantage across experiments
Northern Mockingbird,4,0,0,0.5,0.22610000000000002,0.16861250000000003,with_harmonics,won more metadata experiments
Northern Yellow Warbler,0,0,4,0.0,0.0,0.0,no_meaningful_difference,no consistent or meaningful advantage across experiments
Oak Titmouse,0,4,0,0.0,-0.00040000000000006697,-0.040750000000000064,without_harmonics,won more metadata experiments
Song Sparrow,4,0,0,0.0,0.16400000000000003,0.04100000000000001,with_harmonics,won more metadata experiments
Spotted Towhee,3,0,1,0.0,0.007400000000000073,0.004100000000000048,with_harmonics,won more metadata experiments
