Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Calypte anna,Anna's Hummingbird,0.9963,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Passerculus sandwichensis,Savannah Sparrow,0.0009,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Calypte costae,Costa's Hummingbird,0.0009,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Locustella fluviatilis,River Warbler,0.0008,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Ammospiza leconteii,LeConte's Sparrow,0.0007,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Phoenicurus ochruros,Black Redstart,0.0004,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Coereba flaveola,Bananaquit,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Spizella pallida,Clay-colored Sparrow,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Cynanthus latirostris,Broad-billed Hummingbird,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Selasphorus calliope,Calliope Hummingbird,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Colibri coruscans,Sparkling Violetear,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Selasphorus sasin,Allen's Hummingbird,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Selasphorus rufus,Rufous Hummingbird,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Spizella breweri,Brewer's Sparrow,0.0000,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0000,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0000,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Melanospiza bicolor,Black-faced Grassquit,0.0000,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga occidentalis,Hermit Warbler,0.0000,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
3.0,6.0,Calypte anna,Anna's Hummingbird,0.9996,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
3.0,6.0,Phoenicurus ochruros,Black Redstart,0.0020,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
3.0,6.0,Passerculus sandwichensis,Savannah Sparrow,0.0003,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
3.0,6.0,Locustella fluviatilis,River Warbler,0.0003,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
3.0,6.0,Spizella pallida,Clay-colored Sparrow,0.0002,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
3.0,6.0,Calypte costae,Costa's Hummingbird,0.0002,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
3.0,6.0,Ammospiza leconteii,LeConte's Sparrow,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
3.0,6.0,Cynanthus latirostris,Broad-billed Hummingbird,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
3.0,6.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
3.0,6.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0001,Filtered_With_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,-1,0.01
