Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Hirundo rustica,Barn Swallow,0.9999,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Riparia riparia,Bank Swallow,0.0016,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Delichon urbicum,Common House-Martin,0.0006,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Passer montanus,Eurasian Tree Sparrow,0.0006,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Sylvia borin,Garden Warbler,0.0004,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Petrochelidon pyrrhonota,Cliff Swallow,0.0004,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Iduna pallida,Eastern Olivaceous Warbler,0.0003,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Cecropis daurica,Red-rumped Swallow,0.0003,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Acrocephalus palustris,Marsh Warbler,0.0002,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Vireo bellii,Bell's Vireo,0.0002,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Iduna caligata,Booted Warbler,0.0002,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Geothlypis trichas,Common Yellowthroat,0.0001,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Melanocorypha calandra,Calandra Lark,0.0001,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Carduelis carduelis,European Goldfinch,0.0001,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Acrocephalus schoenobaenus,Sedge Warbler,0.0001,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Dolichonyx oryzivorus,Bobolink,0.0001,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Passerculus sandwichensis,Savannah Sparrow,0.0001,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Curruca communis,Greater Whitethroat,0.0001,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Tachycineta bicolor,Tree Swallow,0.0001,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Rallus limicola,Virginia Rail,0.0001,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Hirundo rustica,Barn Swallow,0.9996,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Cecropis daurica,Red-rumped Swallow,0.1698,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Hirundo tahitica,Pacific Swallow,0.1108,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Petrochelidon pyrrhonota,Cliff Swallow,0.0090,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Hirundo angolensis,Angola Swallow,0.0041,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Hirundo smithii,Wire-tailed Swallow,0.0033,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Hirundo neoxena,Welcome Swallow,0.0031,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Turdus viscivorus,Mistle Thrush,0.0028,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Acrocephalus palustris,Marsh Warbler,0.0020,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Lanius senator,Woodchat Shrike,0.0017,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Delichon urbicum,Common House-Martin,0.0013,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Petronia petronia,Rock Sparrow,0.0013,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Petrochelidon fulva,Cave Swallow,0.0011,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Spatula querquedula,Garganey,0.0008,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Iduna caligata,Booted Warbler,0.0008,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Cecropis abyssinica,Lesser Striped Swallow,0.0006,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Sylvia borin,Garden Warbler,0.0005,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Pycnonotus barbatus,Common Bulbul,0.0005,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Ptyonoprogne rupestris,Eurasian Crag-Martin,0.0004,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Spinus magellanicus,Hooded Siskin,0.0004,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Hirundo rustica,Barn Swallow,0.9984,Filtered_With_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
