Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.8920,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Amphispiza bilineata,Black-throated Sparrow,0.2656,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.1446,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Passerculus sandwichensis,Savannah Sparrow,0.0046,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0028,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0024,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Carduelis carduelis,European Goldfinch,0.0021,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Chondestes grammacus,Lark Sparrow,0.0020,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Spizella breweri,Brewer's Sparrow,0.0017,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Peucaea carpalis,Rufous-winged Sparrow,0.0010,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Pipilo erythrophthalmus,Eastern Towhee,0.0008,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0008,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Cistothorus platensis,Grass Wren,0.0008,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Spinus lawrencei,Lawrence's Goldfinch,0.0007,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0006,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Carduelis corsicana,Corsican Finch,0.0006,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Troglodytes troglodytes,Eurasian Wren,0.0005,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Spizella atrogularis,Black-chinned Sparrow,0.0005,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Pipilo chlorurus,Green-tailed Towhee,0.0005,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
0.0,3.0,Pooecetes gramineus,Vesper Sparrow,0.0005,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
3.0,6.0,Engine,Engine,0.0063,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
3.0,6.0,Human vocal,Human vocal,0.0038,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
3.0,6.0,Fireworks,Fireworks,0.0030,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
3.0,6.0,Power tools,Power tools,0.0029,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
3.0,6.0,Bubo virginianus,Great Horned Owl,0.0029,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
3.0,6.0,Dryobates minor,Lesser Spotted Woodpecker,0.0027,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
3.0,6.0,Buteo jamaicensis,Red-tailed Hawk,0.0027,Filtered_With_Harmonics\Normalized_Audio\Bewick's Wren.wav,-1,-1,-1,0.01
