Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Turdus migratorius,American Robin,0.9415,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0244,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Turdus philomelos,Song Thrush,0.0094,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Piranga flava,Hepatic Tanager,0.0059,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Turdus pelios,African Thrush,0.0057,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Pheucticus chrysogaster,Golden Grosbeak,0.0050,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0043,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Turdus amaurochalinus,Creamy-bellied Thrush,0.0042,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Turdus infuscatus,Black Thrush,0.0037,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Piranga rubra,Summer Tanager,0.0021,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Pheucticus aureoventris,Black-backed Grosbeak,0.0015,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Habia rubica,Red-crowned Ant-Tanager,0.0012,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Turdus pallidus,Pale Thrush,0.0011,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Pheucticus ludovicianus,Rose-breasted Grosbeak,0.0011,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Icterus galbula,Baltimore Oriole,0.0010,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Turdus unicolor,Tickell's Thrush,0.0008,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Turdus ignobilis,Black-billed Thrush,0.0007,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Turdus hortulorum,Gray-backed Thrush,0.0007,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Turdus dissimilis,Black-breasted Thrush,0.0007,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
0.0,3.0,Turdus leucomelas,Pale-breasted Thrush,0.0006,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus migratorius,American Robin,0.9881,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus falcklandii,Austral Thrush,0.0133,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus rufitorques,Rufous-collared Robin,0.0045,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus ignobilis,Black-billed Thrush,0.0042,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus amaurochalinus,Creamy-bellied Thrush,0.0039,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus philomelos,Song Thrush,0.0025,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus obscurus,Eyebrowed Thrush,0.0025,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus albocinctus,White-collared Blackbird,0.0018,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus infuscatus,Black Thrush,0.0017,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Myadestes townsendi,Townsend's Solitaire,0.0014,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Icterus galbula,Baltimore Oriole,0.0014,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus pallidus,Pale Thrush,0.0012,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Limnodromus griseus,Short-billed Dowitcher,0.0010,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus naumanni,Naumann's Thrush,0.0010,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus torquatus,Ring Ouzel,0.0009,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus pelios,African Thrush,0.0008,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Pheucticus aureoventris,Black-backed Grosbeak,0.0007,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Turdus viscivorus,Mistle Thrush,0.0007,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Haemorhous purpureus,Purple Finch,0.0006,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
3.0,6.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0006,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
6.0,9.0,Turdus migratorius,American Robin,0.9717,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
6.0,9.0,Turdus amaurochalinus,Creamy-bellied Thrush,0.0487,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
6.0,9.0,Turdus infuscatus,Black Thrush,0.0264,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
6.0,9.0,Turdus unicolor,Tickell's Thrush,0.0222,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
6.0,9.0,Turdus pallidus,Pale Thrush,0.0149,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
6.0,9.0,Turdus pelios,African Thrush,0.0098,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
6.0,9.0,Habia rubica,Red-crowned Ant-Tanager,0.0063,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,-1,0.01
