Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Mimus patagonicus,Patagonian Mockingbird,0.3226,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.2570,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Mimus saturninus,Chalk-browed Mockingbird,0.0929,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Sitta neumayer,Western Rock Nuthatch,0.0175,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Mimus triurus,White-banded Mockingbird,0.0168,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Mimus thenca,Chilean Mockingbird,0.0131,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Geositta rufipennis,Rufous-banded Miner,0.0087,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Melozone fusca,Canyon Towhee,0.0069,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Toxostoma rufum,Brown Thrasher,0.0067,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Toxostoma crissale,Crissal Thrasher,0.0066,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Mimus gilvus,Tropical Mockingbird,0.0060,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Turdus philomelos,Song Thrush,0.0053,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Melanocorypha calandra,Calandra Lark,0.0043,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0027,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Loxia curvirostra,Red Crossbill,0.0025,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
0.0,3.0,Galerida deva,Tawny Lark,0.0024,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,-1,-1,-1,0.01
