Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Baeolophus ridgwayi,Juniper Titmouse,0.9480,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.4191,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Bradypterus lopezi,Evergreen-forest Warbler,0.0709,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Baeolophus wollweberi,Bridled Titmouse,0.0166,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Zonotrichia querula,Harris's Sparrow,0.0041,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Melozone fusca,Canyon Towhee,0.0032,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Apalis thoracica,Bar-throated Apalis,0.0008,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Toxostoma crissale,Crissal Thrasher,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Phylloscopus fuscatus,Dusky Warbler,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Orthotomus ruficeps,Ashy Tailorbird,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Phylloscopus schwarzi,Radde's Warbler,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Poecile hudsonicus,Boreal Chickadee,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Orthotomus atrogularis,Dark-necked Tailorbird,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Quiscalus mexicanus,Great-tailed Grackle,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Melaniparus cinerascens,Ashy Tit,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Melozone crissalis,California Towhee,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Orthotomus sepium,Olive-backed Tailorbird,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Machlolophus nuchalis,White-naped Tit,0.0001,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Lalage tricolor,White-winged Triller,0.0001,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
0.0,3.0,Piranga ludoviciana,Western Tanager,0.0001,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.9974,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Baeolophus ridgwayi,Juniper Titmouse,0.0075,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Parus major,Great Tit,0.0035,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Melozone crissalis,California Towhee,0.0016,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Melozone fusca,Canyon Towhee,0.0009,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Machlolophus nuchalis,White-naped Tit,0.0008,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0006,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Cyanistes teneriffae,African Blue Tit,0.0005,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0005,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Baeolophus atricristatus,Black-crested Titmouse,0.0005,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0005,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Orthotomus sutorius,Common Tailorbird,0.0004,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0004,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Vireo huttoni,Hutton's Vireo,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Rhynchospiza stolzmanni,Tumbes Sparrow,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Phainopepla nitens,Phainopepla,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Zonotrichia atricapilla,Golden-crowned Sparrow,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Junco hyemalis,Dark-eyed Junco,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Baeolophus bicolor,Tufted Titmouse,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
3.0,6.0,Poecile palustris,Marsh Tit,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Baeolophus inornatus,Oak Titmouse,0.9968,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Baeolophus ridgwayi,Juniper Titmouse,0.0074,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Parus major,Great Tit,0.0038,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Thryothorus ludovicianus,Carolina Wren,0.0016,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Melozone crissalis,California Towhee,0.0013,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Orthotomus sutorius,Common Tailorbird,0.0010,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Melozone fusca,Canyon Towhee,0.0009,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Cyanistes teneriffae,African Blue Tit,0.0006,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Baeolophus atricristatus,Black-crested Titmouse,0.0005,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Machlolophus nuchalis,White-naped Tit,0.0004,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Salpinctes obsoletus,Rock Wren,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Thryomanes bewickii,Bewick's Wren,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Cettia cetti,Cetti's Warbler,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Zonotrichia atricapilla,Golden-crowned Sparrow,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Melaniparus cinerascens,Ashy Tit,0.0003,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Pipilo maculatus,Spotted Towhee,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Poecile palustris,Marsh Tit,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Baeolophus bicolor,Tufted Titmouse,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Leiothlypis celata,Orange-crowned Warbler,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
6.0,9.0,Cardinalis sinuatus,Pyrrhuloxia,0.0002,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
9.0,10.0,Baeolophus inornatus,Oak Titmouse,0.9984,Filtered_With_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,-1,0.01
