Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Icterus cucullatus,Hooded Oriole,0.9999,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Oenanthe oenanthe,Northern Wheatear,0.0461,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Acrocephalus palustris,Marsh Warbler,0.0078,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Icterus bullockii,Bullock's Oriole,0.0061,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Icterus spurius,Orchard Oriole,0.0056,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.0051,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Tyrannus vociferans,Cassin's Kingbird,0.0045,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Spinus spinus,Eurasian Siskin,0.0024,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Toxostoma cinereum,Gray Thrasher,0.0023,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Amphispiza bilineata,Black-throated Sparrow,0.0020,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Toxostoma curvirostre,Curve-billed Thrasher,0.0020,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Luscinia megarhynchos,Common Nightingale,0.0020,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Curruca communis,Greater Whitethroat,0.0018,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Curruca curruca,Lesser Whitethroat,0.0015,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Passer domesticus,House Sparrow,0.0013,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Curruca iberiae,Western Subalpine Warbler,0.0012,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Lanius collurio,Red-backed Shrike,0.0012,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Vireo crassirostris,Thick-billed Vireo,0.0011,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Vireo vicinior,Gray Vireo,0.0010,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Geothlypis beldingi,Belding's Yellowthroat,0.0010,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Icterus cucullatus,Hooded Oriole,0.9964,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Toxostoma curvirostre,Curve-billed Thrasher,0.6502,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Icterus spurius,Orchard Oriole,0.0050,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Icterus bullockii,Bullock's Oriole,0.0040,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Acrocephalus palustris,Marsh Warbler,0.0031,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Sylvia atricapilla,Eurasian Blackcap,0.0023,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Calliope calliope,Siberian Rubythroat,0.0019,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Oenanthe oenanthe,Northern Wheatear,0.0018,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Acrocephalus australis,Australian Reed Warbler,0.0018,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Toxostoma redivivum,California Thrasher,0.0017,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Euphagus carolinus,Rusty Blackbird,0.0016,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Luscinia megarhynchos,Common Nightingale,0.0014,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Dumetella carolinensis,Gray Catbird,0.0014,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Cardinalis sinuatus,Pyrrhuloxia,0.0014,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Amphispiza bilineata,Black-throated Sparrow,0.0011,Filtered_With_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
