Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Haemorhous mexicanus,House Finch,0.8753,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Myadestes townsendi,Townsend's Solitaire,0.0317,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Artemisiospiza nevadensis,Sagebrush Sparrow,0.0083,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0076,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Haemorhous cassinii,Cassin's Finch,0.0073,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Plectrophenax nivalis,Snow Bunting,0.0065,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Galerida theklae,Thekla's Lark,0.0052,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Myiothlypis coronata,Russet-crowned Warbler,0.0040,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Oenanthe leucura,Black Wheatear,0.0031,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Linaria cannabina,Eurasian Linnet,0.0018,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Mirafra cheniana,Latakoo Lark,0.0017,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Passerella iliaca,Fox Sparrow,0.0009,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Pinicola enucleator,Pine Grosbeak,0.0008,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Sayornis saya,Say's Phoebe,0.0007,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Chloris chloris,European Greenfinch,0.0007,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Chondestes grammacus,Lark Sparrow,0.0006,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Calendulauda sabota,Sabota Lark,0.0005,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Loxia curvirostra,Red Crossbill,0.0005,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,0.0005,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
0.0,3.0,Monticola saxatilis,Rufous-tailed Rock-Thrush,0.0005,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.5940,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Artemisiospiza nevadensis,Sagebrush Sparrow,0.0352,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Haemorhous cassinii,Cassin's Finch,0.0276,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Passerina caerulea,Blue Grosbeak,0.0186,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Myadestes townsendi,Townsend's Solitaire,0.0094,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Chondestes grammacus,Lark Sparrow,0.0070,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Pinicola enucleator,Pine Grosbeak,0.0065,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Haemorhous purpureus,Purple Finch,0.0062,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Artemisiospiza belli,Bell's Sparrow,0.0056,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Sayornis saya,Say's Phoebe,0.0056,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Turdus iliacus,Redwing,0.0041,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Monticola saxatilis,Rufous-tailed Rock-Thrush,0.0038,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
3.0,6.0,Galerida theklae,Thekla's Lark,0.0038,Filtered_With_Harmonics\Normalized_Audio\House Finch.wav,-1,-1,27,0.01
