Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.4100,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Spinus xanthogastrus,Yellow-bellied Siskin,0.3930,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Spinus magellanicus,Hooded Siskin,0.1633,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Spinus olivaceus,Olivaceous Siskin,0.0078,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Spinus lawrencei,Lawrence's Goldfinch,0.0058,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Spinus notatus,Black-headed Siskin,0.0053,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Crithagra striolata,Streaky Seedeater,0.0014,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Acrocephalus schoenobaenus,Sedge Warbler,0.0011,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Spinus crassirostris,Thick-billed Siskin,0.0008,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Spinus cucullatus,Red Siskin,0.0007,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Spinus spinus,Eurasian Siskin,0.0007,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Sporophila plumbea,Plumbeous Seedeater,0.0006,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Phylloscopus proregulus,Pallas's Leaf Warbler,0.0004,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Spinus pinus,Pine Siskin,0.0004,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Spinus spinescens,Andean Siskin,0.0003,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Spinus barbatus,Black-chinned Siskin,0.0003,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Sicalis flaveola,Saffron Finch,0.0003,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Cinnyris pulchellus,Beautiful Sunbird,0.0003,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Sporophila nigricollis,Yellow-bellied Seedeater,0.0002,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0002,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Spinus psaltria,Lesser Goldfinch,0.1368,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Passerina amoena,Lazuli Bunting,0.1307,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Phylloscopus proregulus,Pallas's Leaf Warbler,0.0718,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0130,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Anthus hodgsoni,Olive-backed Pipit,0.0095,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Spinus xanthogastrus,Yellow-bellied Siskin,0.0082,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Colius colius,White-backed Mousebird,0.0081,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Crithagra striolata,Streaky Seedeater,0.0080,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Sporophila nigricollis,Yellow-bellied Seedeater,0.0063,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Calendulauda sabota,Sabota Lark,0.0055,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Passerina cyanea,Indigo Bunting,0.0048,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Sporophila torqueola,Cinnamon-rumped Seedeater,0.0048,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Sporophila plumbea,Plumbeous Seedeater,0.0047,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
3.0,6.0,Prunella modularis,Dunnock,0.0047,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,27,0.01
