Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Sayornis nigricans,Black Phoebe,0.9984,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0011,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Chamaea fasciata,Wrentit,0.0005,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Psaltriparus minimus,Bushtit,0.0005,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0005,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Pyrocephalus rubinus,Vermilion Flycatcher,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sayornis saya,Say's Phoebe,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Contopus sordidulus,Western Wood-Pewee,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Auriparus flaviceps,Verdin,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus lawrencei,Lawrence's Goldfinch,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melozone crissalis,California Towhee,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Polioptila melanura,Black-tailed Gnatcatcher,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sayornis nigricans,Black Phoebe,0.9988,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Pyrocephalus rubinus,Vermilion Flycatcher,0.0006,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Psaltriparus minimus,Bushtit,0.0005,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Chamaea fasciata,Wrentit,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sayornis saya,Say's Phoebe,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Auriparus flaviceps,Verdin,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Contopus sordidulus,Western Wood-Pewee,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Spinus psaltria,Lesser Goldfinch,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Passerina amoena,Lazuli Bunting,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Melospiza melodia,Song Sparrow,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Calypte anna,Anna's Hummingbird,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Polioptila melanura,Black-tailed Gnatcatcher,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sialia mexicana,Western Bluebird,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Troglodytes aedon,House Wren,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0000,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Charadrius vociferus,Killdeer,0.0000,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.0000,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Sayornis nigricans,Black Phoebe,0.9991,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Psaltriparus minimus,Bushtit,0.0009,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Baeolophus inornatus,Oak Titmouse,0.0008,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Salpinctes obsoletus,Rock Wren,0.0007,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Spinus psaltria,Lesser Goldfinch,0.0004,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Sayornis saya,Say's Phoebe,0.0004,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Chamaea fasciata,Wrentit,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Passerina amoena,Lazuli Bunting,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Pyrocephalus rubinus,Vermilion Flycatcher,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Calypte anna,Anna's Hummingbird,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Auriparus flaviceps,Verdin,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Spinus tristis,American Goldfinch,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Sialia mexicana,Western Bluebird,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Melospiza melodia,Song Sparrow,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Spinus lawrencei,Lawrence's Goldfinch,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Junco hyemalis,Dark-eyed Junco,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Melozone crissalis,California Towhee,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Contopus sordidulus,Western Wood-Pewee,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Tachycineta thalassina,Violet-green Swallow,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Eremophila alpestris,Horned Lark,0.0001,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Sayornis nigricans,Black Phoebe,0.9995,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Baeolophus inornatus,Oak Titmouse,0.0040,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Eremophila alpestris,Horned Lark,0.0021,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Psaltriparus minimus,Bushtit,0.0012,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Auriparus flaviceps,Verdin,0.0008,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Melospiza melodia,Song Sparrow,0.0005,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Salpinctes obsoletus,Rock Wren,0.0005,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Spinus lawrencei,Lawrence's Goldfinch,0.0004,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Sayornis saya,Say's Phoebe,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Spinus psaltria,Lesser Goldfinch,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Agelaius phoeniceus,Red-winged Blackbird,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Melozone crissalis,California Towhee,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Pyrocephalus rubinus,Vermilion Flycatcher,0.0003,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Passerina amoena,Lazuli Bunting,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Actitis macularius,Spotted Sandpiper,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Charadrius vociferus,Killdeer,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Passerculus sandwichensis,Savannah Sparrow,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Sialia mexicana,Western Bluebird,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Tachycineta thalassina,Violet-green Swallow,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Contopus sordidulus,Western Wood-Pewee,0.0002,Filtered_With_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,27,0.01
