Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.4100,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus lawrencei,Lawrence's Goldfinch,0.0058,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus pinus,Pine Siskin,0.0004,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0002,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sayornis nigricans,Black Phoebe,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melozone crissalis,California Towhee,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Chondestes grammacus,Lark Sparrow,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melozone aberti,Abert's Towhee,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Icterus bullockii,Bullock's Oriole,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Turdus migratorius,American Robin,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Setophaga petechia,Yellow Warbler,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Eremophila alpestris,Horned Lark,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Piranga ludoviciana,Western Tanager,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Tachycineta thalassina,Violet-green Swallow,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Agelaius phoeniceus,Red-winged Blackbird,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Meleagris gallopavo,Wild Turkey,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Spinus psaltria,Lesser Goldfinch,0.1368,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Passerina amoena,Lazuli Bunting,0.1307,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0130,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Spinus lawrencei,Lawrence's Goldfinch,0.0030,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Chondestes grammacus,Lark Sparrow,0.0008,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Hirundo rustica,Barn Swallow,0.0004,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Melozone aberti,Abert's Towhee,0.0003,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Melozone crissalis,California Towhee,0.0003,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0003,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Passerina caerulea,Blue Grosbeak,0.0002,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Auriparus flaviceps,Verdin,0.0002,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sayornis nigricans,Black Phoebe,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Setophaga petechia,Yellow Warbler,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Icterus bullockii,Bullock's Oriole,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Falco sparverius,American Kestrel,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sturnus vulgaris,European Starling,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Troglodytes aedon,House Wren,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Spinus psaltria,Lesser Goldfinch,0.5837,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Spinus lawrencei,Lawrence's Goldfinch,0.1373,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Sayornis nigricans,Black Phoebe,0.0013,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Chondestes grammacus,Lark Sparrow,0.0005,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Tachycineta thalassina,Violet-green Swallow,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Spinus tristis,American Goldfinch,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Icterus cucullatus,Hooded Oriole,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Meleagris gallopavo,Wild Turkey,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0001,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Auriparus flaviceps,Verdin,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Spinus pinus,Pine Siskin,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Passerina amoena,Lazuli Bunting,0.0000,Filtered_With_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,34.0522,-118.2437,27,0.01
