Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.2570,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0027,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Chondestes grammacus,Lark Sparrow,0.0009,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Turdus migratorius,American Robin,0.0007,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Icterus bullockii,Bullock's Oriole,0.0006,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Meleagris gallopavo,Wild Turkey,0.0005,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Toxostoma redivivum,California Thrasher,0.0005,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0005,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Quiscalus mexicanus,Great-tailed Grackle,0.0004,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Phainopepla nitens,Phainopepla,0.0003,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0003,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Icteria virens,Yellow-breasted Chat,0.0003,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0003,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Tyrannus verticalis,Western Kingbird,0.0003,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0003,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melozone aberti,Abert's Towhee,0.0002,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0002,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melozone crissalis,California Towhee,0.0002,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0002,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Agelaius phoeniceus,Red-winged Blackbird,0.0002,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.2579,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Turdus migratorius,American Robin,0.0182,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0101,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.0096,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0093,Filtered_With_Harmonics\Normalized_Audio\Northern Mockingbird.wav,34.0522,-118.2437,27,0.01
