Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Hirundo rustica,Barn Swallow,0.9997,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Riparia riparia,Bank Swallow,0.0014,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Iduna pallida,Eastern Olivaceous Warbler,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Delichon urbicum,Common House-Martin,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Sylvia borin,Garden Warbler,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Acrocephalus palustris,Marsh Warbler,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Acrocephalus schoenobaenus,Sedge Warbler,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Passer montanus,Eurasian Tree Sparrow,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Vireo bellii,Bell's Vireo,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Melanocorypha calandra,Calandra Lark,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Geothlypis trichas,Common Yellowthroat,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Iduna caligata,Booted Warbler,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Rallus limicola,Virginia Rail,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Carduelis carduelis,European Goldfinch,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Branta canadensis,Canada Goose,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Cecropis daurica,Red-rumped Swallow,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Acrocephalus scirpaceus,Eurasian Reed Warbler,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Pycnonotus barbatus,Common Bulbul,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Dendrocopos major,Great Spotted Woodpecker,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Tachycineta bicolor,Tree Swallow,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Hirundo rustica,Barn Swallow,0.9958,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Cecropis daurica,Red-rumped Swallow,0.0854,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Hirundo tahitica,Pacific Swallow,0.0296,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Ploceus cucullatus,Village Weaver,0.0144,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Hirundo smithii,Wire-tailed Swallow,0.0097,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Petrochelidon pyrrhonota,Cliff Swallow,0.0077,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Lanius senator,Woodchat Shrike,0.0073,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Hirundo angolensis,Angola Swallow,0.0042,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Acrocephalus palustris,Marsh Warbler,0.0040,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Hirundo neoxena,Welcome Swallow,0.0037,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Artamus cyanopterus,Dusky Woodswallow,0.0034,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Iduna caligata,Booted Warbler,0.0034,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Turdus viscivorus,Mistle Thrush,0.0021,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Pycnonotus barbatus,Common Bulbul,0.0020,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Spinus magellanicus,Hooded Siskin,0.0019,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Gymnoris pyrgita,Yellow-spotted Bush Sparrow,0.0018,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Iduna pallida,Eastern Olivaceous Warbler,0.0018,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Lanius schach,Long-tailed Shrike,0.0016,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Ploceus intermedius,Lesser Masked-Weaver,0.0014,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Delichon urbicum,Common House-Martin,0.0011,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Hirundo rustica,Barn Swallow,0.9941,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Cecropis daurica,Red-rumped Swallow,0.0510,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Hirundo tahitica,Pacific Swallow,0.0223,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Pseudasthenes humicola,Dusky-tailed Canastero,0.0140,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Pygochelidon cyanoleuca,Blue-and-white Swallow,0.0058,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Iduna pallida,Eastern Olivaceous Warbler,0.0058,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Petrochelidon fulva,Cave Swallow,0.0045,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Paroaria coronata,Red-crested Cardinal,0.0042,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Forpus cyanopygius,Mexican Parrotlet,0.0034,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Ploceus cucullatus,Village Weaver,0.0029,Filtered_Without_Harmonics\Normalized_Audio\Barn Sparrow.wav,-1,-1,-1,0.01
