Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Passer domesticus,House Sparrow,0.6594,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Passer italiae,Italian Sparrow,0.4538,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Motacilla flava,Western Yellow Wagtail,0.0684,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Passer hispaniolensis,Spanish Sparrow,0.0507,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Anthus campestris,Tawny Pipit,0.0413,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Alaudala cheleensis,Asian Short-toed Lark,0.0233,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Alaudala raytal,Sand Lark,0.0125,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Luscinia svecica,Bluethroat,0.0107,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Calandrella cinerea,Red-capped Lark,0.0101,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Emberiza pallasi,Pallas's Bunting,0.0085,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Calandrella dukhunensis,Mongolian Short-toed Lark,0.0079,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Galerida cristata,Crested Lark,0.0073,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Alauda gulgula,Oriental Skylark,0.0068,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Melanocorypha calandra,Calandra Lark,0.0062,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Spinus pinus,Pine Siskin,0.0061,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Passer melanurus,Cape Sparrow,0.0057,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Passer montanus,Eurasian Tree Sparrow,0.0050,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Crithagra flaviventris,Yellow Canary,0.0046,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Mirafra javanica,Australasian Bushlark,0.0043,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
0.0,3.0,Emberiza schoeniclus,Reed Bunting,0.0036,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Passer domesticus,House Sparrow,0.3910,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Passer italiae,Italian Sparrow,0.1950,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Crithagra flaviventris,Yellow Canary,0.0626,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Luscinia svecica,Bluethroat,0.0318,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Anthus similis,Long-billed Pipit,0.0237,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Passer melanurus,Cape Sparrow,0.0175,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Motacilla flava,Western Yellow Wagtail,0.0158,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Vireo vicinior,Gray Vireo,0.0131,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Calandrella cinerea,Red-capped Lark,0.0107,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Alaudala cheleensis,Asian Short-toed Lark,0.0106,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Alaudala raytal,Sand Lark,0.0087,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Emberiza pallasi,Pallas's Bunting,0.0074,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Tachycineta bicolor,Tree Swallow,0.0063,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Emberiza schoeniclus,Reed Bunting,0.0060,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Prinia atrogularis,Black-throated Prinia,0.0048,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Eremomela icteropygialis,Yellow-bellied Eremomela,0.0041,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Vireo flavoviridis,Yellow-green Vireo,0.0036,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Alauda gulgula,Oriental Skylark,0.0035,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Eremopterix griseus,Ashy-crowned Sparrow-Lark,0.0031,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
3.0,6.0,Passer hispaniolensis,Spanish Sparrow,0.0031,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Passer italiae,Italian Sparrow,0.5362,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Passer domesticus,House Sparrow,0.4448,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Passer hispaniolensis,Spanish Sparrow,0.2098,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Crithagra flaviventris,Yellow Canary,0.0164,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Luscinia svecica,Bluethroat,0.0118,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Alaudala cheleensis,Asian Short-toed Lark,0.0082,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Alauda gulgula,Oriental Skylark,0.0075,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Anthus campestris,Tawny Pipit,0.0063,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Calandrella cinerea,Red-capped Lark,0.0050,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Anthus berthelotii,Berthelot's Pipit,0.0050,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Emberiza schoeniclus,Reed Bunting,0.0050,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Alaudala raytal,Sand Lark,0.0046,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Motacilla flava,Western Yellow Wagtail,0.0031,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Passer montanus,Eurasian Tree Sparrow,0.0030,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
6.0,9.0,Melanocorypha calandra,Calandra Lark,0.0020,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,-1,-1,-1,0.01
