Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Spinus magellanicus,Hooded Siskin,0.2941,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.1869,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Spinus xanthogastrus,Yellow-bellied Siskin,0.1448,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Spinus olivaceus,Olivaceous Siskin,0.0162,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Acrocephalus schoenobaenus,Sedge Warbler,0.0126,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Crithagra striolata,Streaky Seedeater,0.0018,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Spinus spinescens,Andean Siskin,0.0013,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Prinia hodgsonii,Gray-breasted Prinia,0.0011,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Iduna rama,Sykes's Warbler,0.0010,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Spinus spinus,Eurasian Siskin,0.0009,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Spinus notatus,Black-headed Siskin,0.0007,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Spinus lawrencei,Lawrence's Goldfinch,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Sporophila nigricollis,Yellow-bellied Seedeater,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Cinnyris pulchellus,Beautiful Sunbird,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Phylloscopus proregulus,Pallas's Leaf Warbler,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
0.0,3.0,Turdus iliacus,Redwing,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Lesser Goldfinch.wav,-1,-1,-1,0.01
