Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Troglodytes aedon,House Wren,0.9904,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Melanerpes lewis,Lewis's Woodpecker,0.0074,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Spinus barbatus,Black-chinned Siskin,0.0020,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0015,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Cistothorus palustris,Marsh Wren,0.0008,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Contopus sordidulus,Western Wood-Pewee,0.0007,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Dendragapus obscurus,Dusky Grouse,0.0007,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Spinus pinus,Pine Siskin,0.0007,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Contopus virens,Eastern Wood-Pewee,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Cistothorus platensis,Grass Wren,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga kirtlandii,Kirtland's Warbler,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Setophaga pinus,Pine Warbler,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Curruca curruca,Lesser Whitethroat,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Pooecetes gramineus,Vesper Sparrow,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Loxia leucoptera,White-winged Crossbill,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
0.0,3.0,Protonotaria citrea,Prothonotary Warbler,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
3.0,6.0,Cistothorus palustris,Marsh Wren,0.3039,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
3.0,6.0,Cistothorus platensis,Grass Wren,0.1903,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
3.0,6.0,Troglodytes aedon,House Wren,0.1055,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
3.0,6.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0619,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
3.0,6.0,Curruca iberiae,Western Subalpine Warbler,0.0409,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
3.0,6.0,Cistothorus stellaris,Sedge Wren,0.0392,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
3.0,6.0,Vireo bellii,Bell's Vireo,0.0135,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
3.0,6.0,Basileuterus rufifrons,Rufous-capped Warbler,0.0134,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
3.0,6.0,Cinnyris venustus,Variable Sunbird,0.0093,Filtered_Without_Harmonics\Normalized_Audio\Northern House Wren.wav,-1,-1,-1,0.01
