Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Calypte anna,Anna's Hummingbird,0.9925,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Locustella fluviatilis,River Warbler,0.0062,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Passerculus sandwichensis,Savannah Sparrow,0.0045,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Spizella pallida,Clay-colored Sparrow,0.0033,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Ammospiza leconteii,LeConte's Sparrow,0.0032,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Phoenicurus ochruros,Black Redstart,0.0012,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Spizella breweri,Brewer's Sparrow,0.0012,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Aegithalos concinnus,Black-throated Tit,0.0007,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Sicalis luteola,Grassland Yellow-Finch,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Coereba flaveola,Bananaquit,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Colibri coruscans,Sparkling Violetear,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Ammodramus aurifrons,Yellow-browed Sparrow,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Calypte costae,Costa's Hummingbird,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Cisticola juncidis,Zitting Cisticola,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Selasphorus sasin,Allen's Hummingbird,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Selasphorus calliope,Calliope Hummingbird,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Xenerpestes singularis,Equatorial Graytail,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Stilpnia heinei,Black-capped Tanager,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
3.0,6.0,Calypte anna,Anna's Hummingbird,0.9953,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
3.0,6.0,Phoenicurus ochruros,Black Redstart,0.0384,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
3.0,6.0,Spizella pallida,Clay-colored Sparrow,0.0110,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
3.0,6.0,Locustella fluviatilis,River Warbler,0.0035,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
3.0,6.0,Passerculus sandwichensis,Savannah Sparrow,0.0033,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
3.0,6.0,Spizella breweri,Brewer's Sparrow,0.0027,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
3.0,6.0,Ammospiza leconteii,LeConte's Sparrow,0.0024,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
3.0,6.0,Aegithalos concinnus,Black-throated Tit,0.0013,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
3.0,6.0,Saxicola rubetra,Whinchat,0.0010,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
3.0,6.0,Sicalis luteola,Grassland Yellow-Finch,0.0009,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
3.0,6.0,Troglodytes aedon,House Wren,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Anna's Hummingbird.wav,-1,-1,27,0.01
