Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Melozone crissalis,California Towhee,0.9778,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0779,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Cinnyris nectarinioides,Black-bellied Sunbird,0.0158,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Phylloscopus armandii,Yellow-streaked Warbler,0.0150,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Cinnyris mariquensis,Mariqua Sunbird,0.0102,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Cinnyris talatala,White-breasted Sunbird,0.0097,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Zonotrichia atricapilla,Golden-crowned Sparrow,0.0086,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Myiothlypis nigrocristata,Black-crested Warbler,0.0064,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Bradypterus sylvaticus,Knysna Warbler,0.0062,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Cardellina pusilla,Wilson's Warbler,0.0044,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Parkesia noveboracensis,Northern Waterthrush,0.0035,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Cranioleuca marcapatae,Marcapata Spinetail,0.0033,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Auriparus flaviceps,Verdin,0.0025,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Melozone albicollis,White-throated Towhee,0.0024,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Emberiza calandra,Corn Bunting,0.0024,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Cettia cetti,Cetti's Warbler,0.0023,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Cardinalis sinuatus,Pyrrhuloxia,0.0018,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Leiothlypis peregrina,Tennessee Warbler,0.0017,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Phylloscopus neglectus,Plain Leaf Warbler,0.0015,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
0.0,3.0,Leiothlypis ruficapilla,Nashville Warbler,0.0013,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
3.0,6.0,Engine,Engine,0.0068,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
3.0,6.0,Human vocal,Human vocal,0.0042,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
3.0,6.0,Fireworks,Fireworks,0.0034,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
3.0,6.0,Bubo virginianus,Great Horned Owl,0.0033,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
3.0,6.0,Power tools,Power tools,0.0032,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
3.0,6.0,Buteo jamaicensis,Red-tailed Hawk,0.0027,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
3.0,6.0,Dryobates minor,Lesser Spotted Woodpecker,0.0027,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
3.0,6.0,Dryocopus pileatus,Pileated Woodpecker,0.0026,Filtered_Without_Harmonics\Normalized_Audio\California Towhee.wav,-1,-1,27,0.01
