Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Quiscalus major,Boat-tailed Grackle,0.1214,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Turdus migratorius,American Robin,0.0917,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Phacellodomus striaticollis,Freckle-breasted Thornbird,0.0830,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Quiscalus quiscula,Common Grackle,0.0282,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Euphagus carolinus,Rusty Blackbird,0.0203,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Sturnus vulgaris,European Starling,0.0123,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Quiscalus mexicanus,Great-tailed Grackle,0.0100,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Buteo jamaicensis,Red-tailed Hawk,0.0034,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Agelaius phoeniceus,Red-winged Blackbird,0.0026,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Spatula discors,Blue-winged Teal,0.0023,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Lophoceros alboterminatus,Crowned Hornbill,0.0022,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Ploceus cucullatus,Village Weaver,0.0020,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Hypsipetes leucocephalus,Black Bulbul,0.0020,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Loxia curvirostra,Red Crossbill,0.0016,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Buteo platypterus,Broad-winged Hawk,0.0014,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Dumetella carolinensis,Gray Catbird,0.0012,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Agelaioides badius,Grayish Baywing,0.0012,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Actitis macularius,Spotted Sandpiper,0.0010,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Euphagus cyanocephalus,Brewer's Blackbird,0.0010,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
0.0,3.0,Ploceus spekei,Speke's Weaver,0.0009,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Sturnus vulgaris,European Starling,0.1120,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Poecile atricapillus,Black-capped Chickadee,0.0576,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Turdus migratorius,American Robin,0.0446,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Spizelloides arborea,American Tree Sparrow,0.0178,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Coccothraustes vespertinus,Evening Grosbeak,0.0173,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Poecile gambeli,Mountain Chickadee,0.0080,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Haemorhous purpureus,Purple Finch,0.0058,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Pinicola enucleator,Pine Grosbeak,0.0056,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Poecile carolinensis,Carolina Chickadee,0.0050,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Spizella passerina,Chipping Sparrow,0.0050,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Plectrophenax nivalis,Snow Bunting,0.0046,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Haemorhous cassinii,Cassin's Finch,0.0044,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Poecile hudsonicus,Boreal Chickadee,0.0036,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Junco hyemalis,Dark-eyed Junco,0.0033,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Calcarius lapponicus,Lapland Longspur,0.0033,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Calidris mauri,Western Sandpiper,0.0031,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0030,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Lanius collurio,Red-backed Shrike,0.0030,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Sitta pygmaea,Pygmy Nuthatch,0.0025,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
3.0,6.0,Empidonax wrightii,Gray Flycatcher,0.0024,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
6.0,9.0,Sturnus vulgaris,European Starling,0.8796,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
6.0,9.0,Sturnus unicolor,Spotless Starling,0.0170,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
6.0,9.0,Chondestes grammacus,Lark Sparrow,0.0167,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
6.0,9.0,Chroicocephalus philadelphia,Bonaparte's Gull,0.0157,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
6.0,9.0,Chlidonias hybrida,Whiskered Tern,0.0121,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
6.0,9.0,Zonotrichia atricapilla,Golden-crowned Sparrow,0.0086,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
6.0,9.0,Passerculus sandwichensis,Savannah Sparrow,0.0041,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
6.0,9.0,Aphelocoma wollweberi,Mexican Jay,0.0035,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
6.0,9.0,Melanodera xanthogramma,Yellow-bridled Finch,0.0035,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
6.0,9.0,Spizelloides arborea,American Tree Sparrow,0.0025,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
6.0,9.0,Spizella breweri,Brewer's Sparrow,0.0025,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,-1,-1,27,0.01
