Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Icterus cucullatus,Hooded Oriole,0.9995,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Oenanthe oenanthe,Northern Wheatear,0.1976,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Acrocephalus palustris,Marsh Warbler,0.0560,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.0080,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Curruca iberiae,Western Subalpine Warbler,0.0065,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Luscinia megarhynchos,Common Nightingale,0.0061,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Curruca communis,Greater Whitethroat,0.0045,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Icterus spurius,Orchard Oriole,0.0032,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Hippolais polyglotta,Melodious Warbler,0.0030,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Curruca curruca,Lesser Whitethroat,0.0027,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Vireo crassirostris,Thick-billed Vireo,0.0026,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Hippolais languida,Upcher's Warbler,0.0018,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Sylvia borin,Garden Warbler,0.0018,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Tyrannus vociferans,Cassin's Kingbird,0.0018,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Lanius collurio,Red-backed Shrike,0.0017,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Iduna opaca,Western Olivaceous Warbler,0.0015,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Vireo nelsoni,Dwarf Vireo,0.0015,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Vireo griseus,White-eyed Vireo,0.0014,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Vireo vicinior,Gray Vireo,0.0014,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
0.0,3.0,Icterus bullockii,Bullock's Oriole,0.0013,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Icterus cucullatus,Hooded Oriole,0.9802,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Toxostoma curvirostre,Curve-billed Thrasher,0.4880,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Acrocephalus palustris,Marsh Warbler,0.1059,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
3.0,6.0,Cisticola erythrops,Red-faced Cisticola,0.0063,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,-1,-1,27,0.01
