Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Zenaida macroura,Mourning Dove,0.8992,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Sarothrura elegans,Buff-spotted Flufftail,0.1123,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Zenaida asiatica,White-winged Dove,0.0354,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Zenaida aurita,Zenaida Dove,0.0265,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Geococcyx velox,Lesser Roadrunner,0.0224,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Gavia immer,Common Loon,0.0172,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Engine,Engine,0.0153,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Canis lupus,Gray Wolf,0.0137,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Leptotila verreauxi,White-tipped Dove,0.0098,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Bubo bubo,Eurasian Eagle-Owl,0.0091,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Dog,Dog,0.0088,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Zenaida meloda,West Peruvian Dove,0.0087,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Patagioenas picazuro,Picazuro Pigeon,0.0074,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Strix ocellata,Mottled Wood-Owl,0.0068,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Ardenna pacifica,Wedge-tailed Shearwater,0.0057,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Strix varia,Barred Owl,0.0057,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Streptopelia decaocto,Eurasian Collared-Dove,0.0054,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Asio otus,Long-eared Owl,0.0053,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Leptotila cassinii,Gray-chested Dove,0.0053,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
0.0,3.0,Human vocal,Human vocal,0.0046,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
3.0,6.0,Zenaida macroura,Mourning Dove,0.9617,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
3.0,6.0,Zenaida meloda,West Peruvian Dove,0.0130,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
3.0,6.0,Zenaida asiatica,White-winged Dove,0.0126,Filtered_Without_Harmonics\Normalized_Audio\Mourning Dove.wav,-1,-1,27,0.01
