Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Engine,Engine,0.0068,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Human vocal,Human vocal,0.0042,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Fireworks,Fireworks,0.0034,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0033,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Power tools,Power tools,0.0032,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Buteo jamaicensis,Red-tailed Hawk,0.0027,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Dryobates minor,Lesser Spotted Woodpecker,0.0027,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Dryocopus pileatus,Pileated Woodpecker,0.0026,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Turdus merula,Eurasian Blackbird,0.0025,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Bombycilla cedrorum,Cedar Waxwing,0.0024,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Loxia curvirostra,Red Crossbill,0.0023,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Regulus regulus,Goldcrest,0.0023,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Bonasa umbellus,Ruffed Grouse,0.0023,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Catharus fuscescens,Veery,0.0022,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Scolopax minor,American Woodcock,0.0022,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0022,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Myiarchus crinitus,Great Crested Flycatcher,0.0021,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Catharus ustulatus,Swainson's Thrush,0.0021,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Parkesia motacilla,Louisiana Waterthrush,0.0021,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
0.0,3.0,Seiurus aurocapilla,Ovenbird,0.0021,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
3.0,6.0,Setophaga petechia,Yellow Warbler,0.9434,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
3.0,6.0,Setophaga ruticilla,American Redstart,0.0161,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
3.0,6.0,Leiothlypis ruficapilla,Nashville Warbler,0.0099,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
3.0,6.0,Cardellina pusilla,Wilson's Warbler,0.0092,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
3.0,6.0,Empidonax traillii,Willow Flycatcher,0.0091,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
3.0,6.0,Setophaga pensylvanica,Chestnut-sided Warbler,0.0070,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
3.0,6.0,Melospiza melodia,Song Sparrow,0.0065,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
3.0,6.0,Icterus galbula,Baltimore Oriole,0.0045,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
3.0,6.0,Agelaius phoeniceus,Red-winged Blackbird,0.0038,Filtered_Without_Harmonics\Normalized_Audio\Northern Yellow Warbler.wav,-1,-1,27,0.01
