Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Baeolophus ridgwayi,Juniper Titmouse,0.8901,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.5813,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Bradypterus lopezi,Evergreen-forest Warbler,0.0434,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Baeolophus wollweberi,Bridled Titmouse,0.0106,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Melozone fusca,Canyon Towhee,0.0076,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Zonotrichia querula,Harris's Sparrow,0.0028,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Phylloscopus schwarzi,Radde's Warbler,0.0010,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Apalis thoracica,Bar-throated Apalis,0.0009,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Phylloscopus fuscatus,Dusky Warbler,0.0007,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Toxostoma crissale,Crissal Thrasher,0.0007,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Orthotomus ruficeps,Ashy Tailorbird,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Vireo modestus,Jamaican Vireo,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Orthotomus atrogularis,Dark-necked Tailorbird,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Poecile hudsonicus,Boreal Chickadee,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Prinia flaviventris,Yellow-bellied Prinia,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Melozone crissalis,California Towhee,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Piranga ludoviciana,Western Tanager,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Cettia cetti,Cetti's Warbler,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.9969,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Machlolophus nuchalis,White-naped Tit,0.0175,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Orthotomus sutorius,Common Tailorbird,0.0156,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Baeolophus ridgwayi,Juniper Titmouse,0.0099,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Parus major,Great Tit,0.0066,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Melaniparus cinerascens,Ashy Tit,0.0044,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Prinia superciliaris,Hill Prinia,0.0028,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0015,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Baeolophus atricristatus,Black-crested Titmouse,0.0014,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0014,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Myiagra rubecula,Leaden Flycatcher,0.0013,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Vireo plumbeus,Plumbeous Vireo,0.0013,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.0012,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Melaniparus afer,Gray Tit,0.0011,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Aegithina tiphia,Common Iora,0.0010,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Cyanistes teneriffae,African Blue Tit,0.0010,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Orthotomus ruficeps,Ashy Tailorbird,0.0009,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Melozone crissalis,California Towhee,0.0009,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Vireo huttoni,Hutton's Vireo,0.0009,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0009,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
6.0,9.0,Baeolophus inornatus,Oak Titmouse,0.9977,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
6.0,9.0,Orthotomus sutorius,Common Tailorbird,0.0595,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
6.0,9.0,Baeolophus ridgwayi,Juniper Titmouse,0.0081,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
6.0,9.0,Melaniparus cinerascens,Ashy Tit,0.0080,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
6.0,9.0,Machlolophus nuchalis,White-naped Tit,0.0074,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
6.0,9.0,Parus major,Great Tit,0.0053,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
6.0,9.0,Thryothorus ludovicianus,Carolina Wren,0.0038,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
6.0,9.0,Baeolophus atricristatus,Black-crested Titmouse,0.0011,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
6.0,9.0,Acridotheres tristis,Common Myna,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
6.0,9.0,Salpinctes obsoletus,Rock Wren,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
6.0,9.0,Aegithina tiphia,Common Iora,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,-1,-1,27,0.01
