Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Columba livia,Rock Pigeon,0.9923,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Columba palumbus,Common Wood-Pigeon,0.0277,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Tympanuchus phasianellus,Sharp-tailed Grouse,0.0061,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Pulsatrix koeniswaldiana,Tawny-browed Owl,0.0055,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Columba guinea,Speckled Pigeon,0.0036,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Gorsachius melanolophus,Malayan Night-Heron,0.0036,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Streptopelia semitorquata,Red-eyed Dove,0.0025,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Streptopelia orientalis,Oriental Turtle-Dove,0.0020,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Engine,Engine,0.0020,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Nannopterum auritum,Double-crested Cormorant,0.0017,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Lyrurus tetrix,Black Grouse,0.0014,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Caprimulgus atripennis,Jerdon's Nightjar,0.0013,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Coragyps atratus,Black Vulture,0.0012,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Patagioenas fasciata,Band-tailed Pigeon,0.0010,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Ducula aenea,Green Imperial-Pigeon,0.0008,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Centropus sinensis,Greater Coucal,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
0.0,3.0,Ixobrychus exilis,Least Bittern,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Rock Pigeon.wav,-1,-1,27,0.01
