Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Sayornis nigricans,Black Phoebe,0.9892,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0148,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Psaltriparus minimus,Bushtit,0.0009,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Chamaea fasciata,Wrentit,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spizella atrogularis,Black-chinned Sparrow,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pyrocephalus rubinus,Vermilion Flycatcher,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Anthus rubescens,American Pipit,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Contopus sordidulus,Western Wood-Pewee,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus lawrencei,Lawrence's Goldfinch,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Sayornis nigricans,Black Phoebe,0.9968,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0052,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Pyrocephalus rubinus,Vermilion Flycatcher,0.0015,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Psaltriparus minimus,Bushtit,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Contopus sordidulus,Western Wood-Pewee,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Melospiza melodia,Song Sparrow,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Chamaea fasciata,Wrentit,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Passerina amoena,Lazuli Bunting,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Auriparus flaviceps,Verdin,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Anthus rubescens,American Pipit,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Sayornis saya,Say's Phoebe,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spinus psaltria,Lesser Goldfinch,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Leiothlypis celata,Orange-crowned Warbler,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Calypte anna,Anna's Hummingbird,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spizella atrogularis,Black-chinned Sparrow,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Sayornis nigricans,Black Phoebe,0.9914,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Salpinctes obsoletus,Rock Wren,0.0093,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Psaltriparus minimus,Bushtit,0.0020,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Passerina amoena,Lazuli Bunting,0.0010,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Baeolophus inornatus,Oak Titmouse,0.0008,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Anthus rubescens,American Pipit,0.0007,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Calypte anna,Anna's Hummingbird,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Pyrocephalus rubinus,Vermilion Flycatcher,0.0006,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Auriparus flaviceps,Verdin,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Spizella atrogularis,Black-chinned Sparrow,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Aimophila ruficeps,Rufous-crowned Sparrow,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Junco hyemalis,Dark-eyed Junco,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Chamaea fasciata,Wrentit,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Spinus psaltria,Lesser Goldfinch,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Sayornis saya,Say's Phoebe,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Melospiza melodia,Song Sparrow,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Setophaga petechia,Yellow Warbler,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Eremophila alpestris,Horned Lark,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Black Phoebe.wav,34.0522,-118.2437,-1,0.01
