Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Icterus cucullatus,Hooded Oriole,0.9995,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Tyrannus vociferans,Cassin's Kingbird,0.0018,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Icterus bullockii,Bullock's Oriole,0.0013,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Passer domesticus,House Sparrow,0.0007,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Troglodytes aedon,House Wren,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Amphispiza bilineata,Black-throated Sparrow,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Toxostoma redivivum,California Thrasher,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Auriparus flaviceps,Verdin,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Euphagus cyanocephalus,Brewer's Blackbird,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Polioptila melanura,Black-tailed Gnatcatcher,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Quiscalus mexicanus,Great-tailed Grackle,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Icteria virens,Yellow-breasted Chat,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Cistothorus palustris,Marsh Wren,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Callipepla gambelii,Gambel's Quail,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Vireo bellii,Bell's Vireo,0.0000,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,0.0000,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Icterus cucullatus,Hooded Oriole,0.9802,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Troglodytes aedon,House Wren,0.0013,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Toxostoma redivivum,California Thrasher,0.0011,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Icterus bullockii,Bullock's Oriole,0.0008,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Amphispiza bilineata,Black-throated Sparrow,0.0005,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Auriparus flaviceps,Verdin,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Polioptila melanura,Black-tailed Gnatcatcher,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Tyrannus verticalis,Western Kingbird,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Cistothorus palustris,Marsh Wren,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Hooded Oriole.wav,34.0522,-118.2437,-1,0.01
