Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Passer domesticus,House Sparrow,0.6594,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus pinus,Pine Siskin,0.0061,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus psaltria,Lesser Goldfinch,0.0019,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Eremophila alpestris,Horned Lark,0.0017,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Sturnus vulgaris,European Starling,0.0009,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Turdus migratorius,American Robin,0.0008,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Auriparus flaviceps,Verdin,0.0008,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Tachycineta bicolor,Tree Swallow,0.0005,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous mexicanus,House Finch,0.0004,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus lawrencei,Lawrence's Goldfinch,0.0003,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Streptopelia decaocto,Eurasian Collared-Dove,0.0003,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Calidris mauri,Western Sandpiper,0.0003,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Hirundo rustica,Barn Swallow,0.0002,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0002,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0002,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Zenaida asiatica,White-winged Dove,0.0001,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous cassinii,Cassin's Finch,0.0001,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Vireo cassinii,Cassin's Vireo,0.0001,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melozone aberti,Abert's Towhee,0.0001,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0001,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Passer domesticus,House Sparrow,0.3910,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Tachycineta bicolor,Tree Swallow,0.0063,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Hirundo rustica,Barn Swallow,0.0020,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spinus pinus,Pine Siskin,0.0018,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Auriparus flaviceps,Verdin,0.0016,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Vireo huttoni,Hutton's Vireo,0.0012,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Eremophila alpestris,Horned Lark,0.0006,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Haemorhous purpureus,Purple Finch,0.0006,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Sturnus vulgaris,European Starling,0.0003,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Turdus migratorius,American Robin,0.0003,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Pipilo chlorurus,Green-tailed Towhee,0.0003,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Haemorhous cassinii,Cassin's Finch,0.0002,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Vireo cassinii,Cassin's Vireo,0.0002,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.0002,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Bubo virginianus,Great Horned Owl,0.0001,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Empidonax oberholseri,Dusky Flycatcher,0.0001,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spinus psaltria,Lesser Goldfinch,0.0001,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Empidonax wrightii,Gray Flycatcher,0.0001,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Setophaga coronata,Yellow-rumped Warbler,0.0001,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Streptopelia decaocto,Eurasian Collared-Dove,0.0001,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Passer domesticus,House Sparrow,0.4448,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
6.0,9.0,Spinus pinus,Pine Siskin,0.0017,Filtered_Without_Harmonics\Normalized_Audio\House Sparrow.wav,34.0522,-118.2437,-1,0.01
