Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Turdus migratorius,American Robin,0.0917,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Sturnus vulgaris,European Starling,0.0123,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Quiscalus mexicanus,Great-tailed Grackle,0.0100,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Buteo jamaicensis,Red-tailed Hawk,0.0034,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Agelaius phoeniceus,Red-winged Blackbird,0.0026,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Actitis macularius,Spotted Sandpiper,0.0010,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Euphagus cyanocephalus,Brewer's Blackbird,0.0010,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,0.0008,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0007,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Zenaida macroura,Mourning Dove,0.0006,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0006,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Ixobrychus exilis,Least Bittern,0.0006,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Molothrus ater,Brown-headed Cowbird,0.0006,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Limnodromus scolopaceus,Long-billed Dowitcher,0.0005,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Dryobates villosus,Hairy Woodpecker,0.0005,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Cistothorus palustris,Marsh Wren,0.0005,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0005,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0004,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Poecile gambeli,Mountain Chickadee,0.0003,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Pluvialis squatarola,Black-bellied Plover,0.0003,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sturnus vulgaris,European Starling,0.1120,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Turdus migratorius,American Robin,0.0446,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Poecile gambeli,Mountain Chickadee,0.0080,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Haemorhous purpureus,Purple Finch,0.0058,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Spizella passerina,Chipping Sparrow,0.0050,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Junco hyemalis,Dark-eyed Junco,0.0033,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Calidris mauri,Western Sandpiper,0.0031,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0030,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Sitta pygmaea,Pygmy Nuthatch,0.0025,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Buteo jamaicensis,Red-tailed Hawk,0.0022,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Charadrius semipalmatus,Semipalmated Plover,0.0019,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Spinus pinus,Pine Siskin,0.0017,Filtered_Without_Harmonics\Normalized_Audio\European Starling.wav,34.0522,-118.2437,27,0.01
