Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Baeolophus inornatus,Oak Titmouse,0.5813,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Thryomanes bewickii,Bewick's Wren,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melozone crissalis,California Towhee,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Piranga ludoviciana,Western Tanager,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Calypte anna,Anna's Hummingbird,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Aphelocoma californica,California Scrub-Jay,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Melozone aberti,Abert's Towhee,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Poecile rufescens,Chestnut-backed Chickadee,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Vireo huttoni,Hutton's Vireo,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Toxostoma redivivum,California Thrasher,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Chondestes grammacus,Lark Sparrow,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Poecile gambeli,Mountain Chickadee,0.0001,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0000,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Polioptila melanura,Black-tailed Gnatcatcher,0.0000,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Quiscalus mexicanus,Great-tailed Grackle,0.0000,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
0.0,3.0,Auriparus flaviceps,Verdin,0.0000,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Baeolophus inornatus,Oak Titmouse,0.9969,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0015,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0014,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Melozone crissalis,California Towhee,0.0009,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Vireo huttoni,Hutton's Vireo,0.0009,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Thryomanes bewickii,Bewick's Wren,0.0009,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Mimus polyglottos,Northern Mockingbird,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Auriparus flaviceps,Verdin,0.0004,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Aphelocoma californica,California Scrub-Jay,0.0003,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Phainopepla nitens,Phainopepla,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Callipepla californica,California Quail,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Chamaea fasciata,Wrentit,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Dryobates nuttallii,Nuttall's Woodpecker,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
3.0,6.0,Leiothlypis celata,Orange-crowned Warbler,0.0002,Filtered_Without_Harmonics\Normalized_Audio\Oak Titmouse.wav,34.0522,-118.2437,27,0.01
