name,id,branch,harmonic_test_required,input_filename,filtered_filename,sample_rate_hz,channels,filter_type,filter_low_hz,filter_high_hz,active_rms_linear_filtered,active_rms_dbfs_filtered,full_file_peak_linear_filtered,full_file_peak_dbfs_filtered,maximum_safe_target_rms_dbfs,status,error
American Robin,ML168300,with_harmonics,yes,American Robin.wav,American Robin.wav,44100,2,bandpass,1550.0,15000.0,0.07953045570478762,-21.98933058117055,0.6087033447689001,-4.311886236643937,-18.677444344526613,OK,
Anna's Hummingbird,ML197952,with_harmonics,yes,Anna's Hummingbird.wav,Anna's Hummingbird.wav,44100,2,bandpass,3000.0,15000.0,0.043962880360330706,-27.13827722414402,0.6614124877368242,-3.5905521937684752,-24.547725030375545,OK,
Barn Sparrow,ML63124,with_harmonics,yes,Barn Sparrow.wav,Barn Sparrow.wav,44100,1,bandpass,1230.0,13500.0,0.023434841945735557,-32.60275942390923,0.28267709300846594,-10.974187670541927,-22.6285717533673,OK,
Bewick's Wren,ML191106,with_harmonics,yes,Bewick's Wren.wav,Bewick's Wren.wav,44100,2,bandpass,2860.0,14000.0,0.10091095027412061,-19.92123408148794,0.6919068487373323,-3.1990474115141443,-17.722186669973794,OK,
Black Phoebe,ML182034971,with_harmonics,yes,Black Phoebe.wav,Black Phoebe.wav,48000,1,bandpass,3600.0,15000.0,0.07200971730599313,-22.85217788037054,0.5192287518942125,-5.6928253363543915,-18.159352544016148,OK,
California Towhee,ML187038,with_harmonics,yes,California Towhee.wav,California Towhee.wav,44100,2,bandpass,2100.0,14000.0,0.05840566589315031,-24.67090040474769,0.5519551056066483,-5.1619249012207105,-20.50897550352698,OK,
Hooded Oriole,ML245074981,with_harmonics,yes,Hooded Oriole.wav,Hooded Oriole.wav,44100,1,bandpass,1390.0,12000.0,0.05193192724730071,-25.691311199808126,0.4074656505606927,-7.798179929926255,-18.89313126988187,OK,
House Finch,ML22938,with_harmonics,yes,House Finch.wav,House Finch.wav,44100,1,bandpass,2120.0,14500.0,0.11457956585754202,-18.817856552538224,0.5718649678659803,-4.854130145600676,-14.963726406937548,OK,
House Sparrow,ML138707321,with_harmonics,yes,House Sparrow.wav,House Sparrow.wav,48000,1,bandpass,1990.0,15000.0,0.08812752612123913,-21.097768420767537,0.6358583359548683,-3.932792616782937,-18.1649758039846,OK,
Lesser Goldfinch,ML219156941,with_harmonics,yes,Lesser Goldfinch.wav,Lesser Goldfinch.wav,48000,1,bandpass,2000.0,15000.0,0.10356419622253138,-19.695807222029963,0.7084522043910554,-2.9937888806495216,-17.70201834138044,OK,
Northern House Wren,ML107106211,with_harmonics,yes,Northern House Wren.wav,Northern House Wren.wav,48000,1,bandpass,2120.0,15000.0,0.07726682164584187,-22.240139039960837,0.6145194587576197,-4.229287212515237,-19.0108518274456,OK,
Northern Mockingbird,ML534473,with_harmonics,yes,Northern Mockingbird.wav,Northern Mockingbird.wav,44100,1,bandpass,2080.0,15000.0,0.13120554066019768,-17.640956496258685,0.6955350325629488,-3.1536198133492617,-15.487336682909422,OK,
Northern Yellow Warbler,ML57524601,with_harmonics,yes,Northern Yellow Warbler.wav,Northern Yellow Warbler.wav,96000,2,bandpass,3770.0,15000.0,0.15994979022003442,-15.920326503450088,0.6950964595689404,-3.15909847073915,-13.761228032710939,OK,
Oak Titmouse,ML88772,with_harmonics,yes,Oak Titmouse.wav,Oak Titmouse.wav,44100,1,bandpass,1800.0,12000.0,0.04494834995487607,-26.94572493007012,0.43139879033545697,-7.30242154031957,-20.64330338975055,OK,
Song Sparrow,ML43973911,with_harmonics,yes,Song Sparrow.wav,Song Sparrow.wav,48000,2,bandpass,2000.0,15000.0,0.11031901938399949,-19.146992144405313,0.5235517335399609,-5.620807961427455,-14.526184182977858,OK,
Spotted Towhee,ML55077,with_harmonics,yes,Spotted Towhee.wav,Spotted Towhee.wav,44100,1,bandpass,2200.0,15000.0,0.09083548708099595,-20.834889013596253,0.6662977742123103,-3.526632750063539,-18.308256263532716,OK,
