name,id,input_filename,normalized_filename,sample_rate_hz,channels,target_rms_dbfs,active_rms_before_linear,active_rms_before_dbfs,gain_linear,gain_db,active_rms_after_linear,active_rms_after_dbfs,full_file_peak_after_linear,full_file_peak_after_dbfs,status,error
American Robin,ML168300,American Robin.wav,American Robin.wav,44100,1,-25.0,0.09503929321480424,-20.4419360419655,0.5916935050425579,-4.5580639580345,0.05623413251903491,-25.0,0.36014791742168634,-8.870381844311693,OK,
Anna's Hummingbird,ML197952,Anna's Hummingbird.wav,Anna's Hummingbird.wav,44100,1,-25.0,0.05108514309019093,-25.83410771632851,1.1007923070657437,0.8341077163285132,0.05623413251903491,-25.0,0.7281058491010416,-2.7561096022312572,OK,
Barn Sparrow,ML63124,Barn Sparrow.wav,Barn Sparrow.wav,44100,1,-25.0,0.023434873524230963,-32.60274771966382,2.399591892863876,7.602747719663821,0.05623413251903492,-25.0,0.6782537875886603,-3.372155446373047,OK,
Bewick's Wren,ML191106,Bewick's Wren.wav,Bewick's Wren.wav,44100,1,-25.0,0.11288921126787763,-18.94695122540046,0.49813557812531384,-6.053048774599539,0.05623413251903491,-25.0,0.34467248421738406,-9.251867713305222,OK,
Black Phoebe,ML182034971,Black Phoebe.wav,Black Phoebe.wav,44100,1,-25.0,0.07207255867449489,-22.844601192364923,0.7802433208040817,-2.1553988076350765,0.05623413251903491,-25.0,0.4060989329929691,-7.827363031961116,OK,
California Towhee,ML187038,California Towhee.wav,California Towhee.wav,44100,1,-25.0,0.05923517437545952,-24.548406574749436,0.9493368275173356,-0.45159342525056245,0.05623413251903491,-25.0,0.5239778400414591,-5.613741594341407,OK,
Hooded Oriole,ML245074981,Hooded Oriole.wav,Hooded Oriole.wav,44100,1,-25.0,0.05193159152656114,-25.691367351059835,1.0828501662667738,0.6913673510598339,0.056234132519034905,-25.0,0.44119667266319873,-7.107355430052226,OK,
House Finch,ML22938,House Finch.wav,House Finch.wav,44100,1,-25.0,0.11457955065571548,-18.817857704937392,0.490786813154864,-6.182142295062607,0.056234132519034905,-25.0,0.28065073562304205,-11.036676301980123,OK,
House Sparrow,ML138707321,House Sparrow.wav,House Sparrow.wav,44100,1,-25.0,0.08805385375600693,-21.10503263985273,0.6386334058115961,-3.8949673601472656,0.056234132519034905,-25.0,0.4103133878342143,-7.7376862501003005,OK,
Lesser Goldfinch,ML219156941,Lesser Goldfinch.wav,Lesser Goldfinch.wav,44100,1,-25.0,0.103630915098978,-19.690213336981955,0.5426385790893155,-5.309786663018046,0.05623413251903491,-25.0,0.38488787399883634,-8.293315425203504,OK,
Northern House Wren,ML107106211,Northern House Wren.wav,Northern House Wren.wav,44100,1,-25.0,0.07729006946204478,-22.237526047865302,0.7275725447064074,-2.762473952134697,0.05623413251903492,-25.0,0.4455848946279353,-7.021390804214778,OK,
Northern Mockingbird,ML534473,Northern Mockingbird.wav,Northern Mockingbird.wav,44100,1,-25.0,0.13119555929985757,-17.641617293750823,0.42862832262872147,-7.358382706249175,0.05623413251903491,-25.0,0.29812219546603974,-10.512113782964587,OK,
Northern Yellow Warbler,ML57524601,Northern Yellow Warbler.wav,Northern Yellow Warbler.wav,44100,1,-25.0,0.17474774176585528,-15.151768557135156,0.32180176951518547,-9.848231442864844,0.056234132519034905,-25.0,0.22258414019963618,-13.05011567416507,OK,
Oak Titmouse,ML88772,Oak Titmouse.wav,Oak Titmouse.wav,44100,1,-25.0,0.04494832740125196,-26.94572928836891,1.251083983994221,1.9457292883689092,0.05623413251903491,-25.0,0.5397514124061982,-5.356124250855067,OK,
Song Sparrow,ML43973911,Song Sparrow.wav,Song Sparrow.wav,44100,1,-25.0,0.11143899086730011,-19.059256586159137,0.5046181061168947,-5.940743413840863,0.056234132519034905,-25.0,0.2722516936657892,-11.300588196738989,OK,
Spotted Towhee,ML55077,Spotted Towhee.wav,Spotted Towhee.wav,44100,1,-25.0,0.09083546788370839,-20.834890849283425,0.6190768191014148,-4.165109150716573,0.056234132519034905,-25.0,0.4124848691235714,-7.69183955448292,OK,
