name,id,branch,harmonic_test_required,input_filename,filtered_filename,sample_rate_hz,channels,filter_type,filter_low_hz,filter_high_hz,active_rms_linear_filtered,active_rms_dbfs_filtered,full_file_peak_linear_filtered,full_file_peak_dbfs_filtered,maximum_safe_target_rms_dbfs,status,error
American Robin,ML168300,without_harmonics,yes,American Robin.wav,American Robin.wav,44100,2,bandpass,1550.0,4000.0,0.07948617212156794,-21.994168343508058,0.6068330710624017,-4.3386151830014565,-18.6555531605066,OK,
Anna's Hummingbird,ML197952,without_harmonics,yes,Anna's Hummingbird.wav,Anna's Hummingbird.wav,44100,2,bandpass,3000.0,8700.0,0.03884956237008606,-28.212277380930434,0.4925571927133375,-6.150866692659128,-23.061410688271305,OK,
Barn Sparrow,ML63124,without_harmonics,yes,Barn Sparrow.wav,Barn Sparrow.wav,44100,1,bandpass,1230.0,6850.0,0.02332880840761008,-32.642148871974,0.2832918550030914,-10.95531823624592,-22.68683063572808,OK,
Bewick's Wren,ML191106,without_harmonics,yes,Bewick's Wren.wav,Bewick's Wren.wav,44100,2,bandpass,2860.0,7000.0,0.1005572086019305,-19.95173581734181,0.691624095111165,-3.202597699762868,-17.74913811757894,OK,
Black Phoebe,ML182034971,without_harmonics,yes,Black Phoebe.wav,Black Phoebe.wav,48000,1,bandpass,3600.0,6400.0,0.07185088486283193,-22.871357580886325,0.5131524591127066,-5.795071710844488,-18.076285870041836,OK,
California Towhee,ML187038,without_harmonics,yes,California Towhee.wav,California Towhee.wav,44100,2,bandpass,2100.0,8000.0,0.05838816369976069,-24.67350366079082,0.5501098587916124,-5.1910114354737305,-20.482492225317092,OK,
Dark-eyed Junco,ML27611071,without_harmonics,no,Dark-eyed Junco.wav,Dark-eyed Junco.wav,96000,2,bandpass,2700.0,6700.0,0.0939099634687591,-20.5457665678936,0.5445166371610393,-5.2797769254423645,-16.26598964245124,OK,
European Starling,ML14861,without_harmonics,no,European Starling.wav,European Starling.wav,44100,1,bandpass,800.0,8600.0,0.022363607702945647,-33.00916269272828,0.33594293185108154,-9.474689838343965,-24.53447285438432,OK,
Hooded Oriole,ML245074981,without_harmonics,yes,Hooded Oriole.wav,Hooded Oriole.wav,44100,1,bandpass,1390.0,5700.0,0.051180596680431206,-25.817893105393942,0.40761669975871156,-7.794960631462942,-19.022932473931,OK,
House Finch,ML22938,without_harmonics,yes,House Finch.wav,House Finch.wav,44100,1,bandpass,2120.0,5500.0,0.11455247067132095,-18.819910789928173,0.5782710983190934,-4.757370259209013,-15.06254053071916,OK,
House Sparrow,ML138707321,without_harmonics,yes,House Sparrow.wav,House Sparrow.wav,48000,1,bandpass,1990.0,6800.0,0.08799771931622404,-21.11057167090896,0.6222732129484875,-4.120377874543219,-17.99019379636574,OK,
Lesser Goldfinch,ML219156941,without_harmonics,yes,Lesser Goldfinch.wav,Lesser Goldfinch.wav,48000,1,bandpass,2000.0,8000.0,0.10304365047680972,-19.739575283487248,0.706616578591538,-3.0163235478632853,-17.72325173562396,OK,
Mourning Dove,ML166991841,without_harmonics,no,Mourning Dove.wav,Mourning Dove.wav,96000,1,bandpass,100.0,1000.0,0.06621416559890994,-23.580981787242045,0.21163729227227326,-13.488156071011,-11.092825716231046,OK,
Northern House Wren,ML107106211,without_harmonics,yes,Northern House Wren.wav,Northern House Wren.wav,48000,1,bandpass,2120.0,8000.0,0.07708167187178008,-22.260977484687107,0.6142477333854153,-4.233128748403229,-19.02784873628388,OK,
Northern Mockingbird,ML534473,without_harmonics,yes,Northern Mockingbird.wav,Northern Mockingbird.wav,44100,1,bandpass,2080.0,5150.0,0.1312819873044679,-17.63589715390247,0.6727214072881207,-3.4432950402438673,-15.192602113658602,OK,
Northern Yellow Warbler,ML57524601,without_harmonics,yes,Northern Yellow Warbler.wav,Northern Yellow Warbler.wav,96000,2,bandpass,3770.0,8200.0,0.15953737395842335,-15.942751217333274,0.6954530052271428,-3.154644236805948,-13.788106980527326,OK,
Oak Titmouse,ML88772,without_harmonics,yes,Oak Titmouse.wav,Oak Titmouse.wav,44100,1,bandpass,1800.0,4760.0,0.044707003697218584,-26.992488719109726,0.4313487003273492,-7.303430123451,-20.689058595658725,OK,
Rock Pigeon,ML44449551,without_harmonics,no,Rock Pigeon.wav,Rock Pigeon.wav,48000,1,bandpass,100.0,1010.0,0.10769975492848156,-19.355705698818312,0.6566724233826656,-3.653024426013159,-16.70268127280515,OK,
Song Sparrow,ML43973911,without_harmonics,yes,Song Sparrow.wav,Song Sparrow.wav,48000,2,bandpass,2000.0,7760.0,0.1075798044199367,-19.36538499201477,0.5221125441485928,-5.644717448213611,-14.72066754380116,OK,
Spotted Towhee,ML55077,without_harmonics,yes,Spotted Towhee.wav,Spotted Towhee.wav,44100,1,bandpass,2200.0,8100.0,0.09076999588311462,-20.841153685041593,0.6692887596734483,-3.4877293733137686,-18.353424311727824,OK,
