name,id,input_filename,normalized_filename,sample_rate_hz,channels,target_rms_dbfs,active_rms_before_linear,active_rms_before_dbfs,gain_linear,gain_db,active_rms_after_linear,active_rms_after_dbfs,full_file_peak_after_linear,full_file_peak_after_dbfs,status,error
American Robin,ML168300,American Robin.wav,American Robin.wav,44100,1,-25.0,0.09496538691740153,-20.448693159471514,0.5921539873042999,-4.551306840528487,0.05623413251903492,-25.0,0.35932586314571224,-8.890230450383616,OK,
Anna's Hummingbird,ML197952,Anna's Hummingbird.wav,Anna's Hummingbird.wav,44100,1,-25.0,0.04508765362528196,-26.918847298351643,1.2472179853578096,1.9188472983516436,0.05623413251903491,-25.0,0.6143599091082887,-4.231542650583295,OK,
Barn Sparrow,ML63124,Barn Sparrow.wav,Barn Sparrow.wav,44100,1,-25.0,0.02332884153984157,-32.642136536037384,2.410498284837542,7.642136536037382,0.056234132519034905,-25.0,0.6828813347823152,-3.3130951540907234,OK,
Bewick's Wren,ML191106,Bewick's Wren.wav,Bewick's Wren.wav,44100,1,-25.0,0.1124930022324965,-18.977489850845387,0.49989005007451237,-6.022510149154613,0.05623413251903491,-25.0,0.3457491484035873,-9.224777618101355,OK,
Black Phoebe,ML182034971,Black Phoebe.wav,Black Phoebe.wav,44100,1,-25.0,0.07191335058620188,-22.863809522611568,0.7819706919597296,-2.1361904773884306,0.0562341325190349,-25.0,0.4018433984957851,-7.918863237796093,OK,
California Towhee,ML187038,California Towhee.wav,California Towhee.wav,44100,1,-25.0,0.0592121952050799,-24.55177675580289,0.9497052477833232,-0.44822324419711174,0.05623413251903491,-25.0,0.5224132413114746,-5.639716475562137,OK,
Dark-eyed Junco,ML27611071,Dark-eyed Junco.wav,Dark-eyed Junco.wav,44100,1,-25.0,0.09777032248939864,-20.195859046383582,0.5751656646640646,-4.804140953616418,0.05623413251903492,-25.0,0.3100677937710785,-10.170866817393492,OK,
European Starling,ML14861,European Starling.wav,European Starling.wav,44100,1,-25.0,0.022322389974038803,-33.025186179482965,2.5191806336344746,8.025186179482969,0.05623413251903491,-25.0,0.8462872441115813,-1.4496441018826691,OK,
Hooded Oriole,ML245074981,Hooded Oriole.wav,Hooded Oriole.wav,44100,1,-25.0,0.05118028169066904,-25.81794656265916,1.0987460533904656,0.8179465626591597,0.056234132519034905,-25.0,0.44784095120492734,-6.977523928888536,OK,
House Finch,ML22938,House Finch.wav,House Finch.wav,44100,1,-25.0,0.11455249803542136,-18.819908715057792,0.4909027169503232,-6.180091284942205,0.05623413251903491,-25.0,0.28387803904698716,-10.937364068441298,OK,
House Sparrow,ML138707321,House Sparrow.wav,House Sparrow.wav,44100,1,-25.0,0.08792372074026546,-21.117878835991867,0.6395786261725157,-3.882121164008133,0.056234132519034905,-25.0,0.3996585677950571,-7.966217445638336,OK,
Lesser Goldfinch,ML219156941,Lesser Goldfinch.wav,Lesser Goldfinch.wav,44100,1,-25.0,0.10310992850554278,-19.733990285490318,0.5453803851295658,-5.266009714509683,0.05623413251903491,-25.0,0.3844359172278659,-8.303520873495122,OK,
Mourning Dove,ML166991841,Mourning Dove.wav,Mourning Dove.wav,44100,1,-25.0,0.06621820578266532,-23.58045181726776,0.8492246483331317,-1.4195481827322387,0.05623413251903491,-25.0,0.17972939868744717,-14.907617573740524,OK,
Northern House Wren,ML107106211,Northern House Wren.wav,Northern House Wren.wav,44100,1,-25.0,0.07710483451698195,-22.258367811685563,0.7293204488578421,-2.7416321883144357,0.05623413251903492,-25.0,0.44558701739910883,-7.021349424642798,OK,
Northern Mockingbird,ML534473,Northern Mockingbird.wav,Northern Mockingbird.wav,44100,1,-25.0,0.1312718149751786,-17.63657020246506,0.4283793328344541,-7.363429797534941,0.056234132519034905,-25.0,0.2881834110413424,-10.806620449660638,OK,
Northern Yellow Warbler,ML57524601,Northern Yellow Warbler.wav,Northern Yellow Warbler.wav,44100,1,-25.0,0.17410162377289323,-15.18394356762249,0.32299602554189555,-9.816056432377508,0.056234132519034905,-25.0,0.22330175667193913,-13.022157208080527,OK,
Oak Titmouse,ML88772,Oak Titmouse.wav,Oak Titmouse.wav,44100,1,-25.0,0.044707000731748145,-26.99248929525547,1.2578372871947303,1.9924892952554696,0.05623413251903491,-25.0,0.5425881974639134,-5.310593147428121,OK,
Rock Pigeon,ML44449551,Rock Pigeon.wav,Rock Pigeon.wav,44100,1,-25.0,0.10768820710850024,-19.35663707018248,0.5221939711780765,-5.643362929817518,0.05623413251903491,-25.0,0.3428332184434192,-9.298342084584272,OK,
Song Sparrow,ML43973911,Song Sparrow.wav,Song Sparrow.wav,44100,1,-25.0,0.10846997549223061,-19.29380915935871,0.5184303975717482,-5.706190840641289,0.056234132519034905,-25.0,0.2784696480609235,-11.104442681115767,OK,
Spotted Towhee,ML55077,Spotted Towhee.wav,Spotted Towhee.wav,44100,1,-25.0,0.09076996958922036,-20.841156201136197,0.6195235359615363,-4.158843798863802,0.05623413251903492,-25.0,0.4146353353018937,-7.64667380013892,OK,
