name,branch,status,error,selected_channel,active_rms_trimmed_selected_dbfs,active_rms_filtered_selected_dbfs,active_rms_mono_dbfs,active_rms_silenced_dbfs,active_rms_normalized_dbfs,rms_filter_change_db,rms_mono_resampling_change_db,rms_silencing_change_db,rms_normalization_change_db,rms_overall_change_db,peak_trimmed_selected_dbfs,peak_filtered_selected_dbfs,peak_mono_dbfs,peak_silenced_dbfs,peak_normalized_dbfs,peak_filter_change_db,peak_mono_resampling_change_db,peak_silencing_change_db,peak_normalization_change_db,peak_overall_change_db,crest_factor_trimmed_selected_db,crest_factor_filtered_selected_db,crest_factor_mono_db,crest_factor_silenced_db,crest_factor_normalized_db,trimmed_original_channels,filtered_original_channels,mono_channels,silenced_channels,normalized_channels,trimmed_sample_rate_hz,filtered_sample_rate_hz,mono_sample_rate_hz,silenced_sample_rate_hz,normalized_sample_rate_hz,trimmed_subtype,filtered_subtype,mono_subtype,silenced_subtype,normalized_subtype,duration_trimmed_seconds,duration_filtered_seconds,duration_mono_seconds,duration_silenced_seconds,duration_normalized_seconds,active_duration_seconds,active_fraction_percent,inactive_max_abs_silenced,inactive_max_abs_normalized
American Robin,without_harmonics,OK,,left,-20.430900815378234,-20.445062332807773,-20.445062332807773,-20.448693159471514,-25.000001927527155,-0.014161517429538861,0.0,-0.00363082666374126,-4.551308768055641,-4.569101112148921,-4.298828112328532,-4.338923609855127,-4.338923609855127,-4.338923609855127,-8.890518069671355,-0.040095497526595025,0.0,0.0,-4.551594459816228,-4.591689957342823,16.1320727030497,16.106138722952647,16.106138722952647,16.109769549616388,16.1094838578558,2,2,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,6.75,67.5,0.0,0.0
American Robin,with_harmonics,OK,,left,-20.430900815378234,-20.438430435316807,-20.438430435316807,-20.4419360419655,-24.999998172068736,-0.007529619938573262,0.0,-0.0035056066486944815,-4.5580621301032345,-4.569097356690502,-4.298828112328532,-4.312317886277191,-4.312317886277191,-4.312317886277191,-8.870622491918233,-0.013489773948659689,0.0,0.0,-4.558304605641042,-4.571794379589702,16.1320727030497,16.126112549039615,16.126112549039615,16.12961815568831,16.129375680150503,2,2,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,6.75,67.5,0.0,0.0
Anna's Hummingbird,without_harmonics,OK,,left,-25.77085187868542,-26.91884676625798,-26.91884676625798,-26.918847298351643,-25.000000019261257,-1.1479948875725583,0.0,-5.320936651287411e-07,1.9188472790903859,0.7708518594241625,-3.1724255952651212,-6.150389948934939,-6.150389948934939,-6.150389948934939,-4.231260264692322,-2.977964353669818,0.0,0.0,1.919129684242617,-1.0588346694272008,22.5984262834203,20.768456817323038,20.768456817323038,20.768457349416703,20.768739754568934,2,2,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,8.2,82.0,0.0,0.0
Anna's Hummingbird,with_harmonics,OK,,left,-25.77085187868542,-25.834107203314012,-25.834107203314012,-25.83410771632851,-24.999999091282888,-0.06325532462859229,0.0,-5.130144984377694e-07,0.8341086250456229,0.7708527874025322,-3.1724255952651212,-3.5902173185597706,-3.5902173185597706,-3.5902173185597706,-2.755953955745993,-0.4177917232946493,0.0,0.0,0.8342633628137777,0.41647163951912836,22.5984262834203,22.243889884754243,22.243889884754243,22.24389039776874,22.244045135536894,2,2,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,8.2,82.0,0.0,0.0
Barn Sparrow,without_harmonics,OK,,already_mono,-32.584787148695476,-32.64213525878376,-32.64213525878376,-32.642136536037384,-24.999995279427626,-0.05734811008828444,0.0,-1.2772536237548593e-06,7.642141256609758,7.58479186926785,-10.93467114985864,-10.955231690128107,-10.955231690128107,-10.955231690128107,-3.3129614617625167,-0.020560540269466188,0.0,0.0,7.64227022836559,7.621709688096124,21.650115998836835,21.68690356865565,21.68690356865565,21.686904845909275,21.68703381766511,1,1,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,8.9,89.0,0.0,0.0
Barn Sparrow,with_harmonics,OK,,already_mono,-32.584787148695476,-32.602746423318806,-32.602746423318806,-32.60274771966382,-25.000003863877353,-0.01795927462332969,0.0,-1.2963450117808861e-06,7.602743855786464,7.584783284818123,-10.93467114985864,-10.974903166036867,-10.974903166036867,-10.974903166036867,-3.372163306349332,-0.04023201617822636,0.0,0.0,7.602739859687535,7.562507843509309,21.650115998836835,21.62784325728194,21.62784325728194,21.62784455362695,21.62784055752802,1,1,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,8.9,89.0,0.0,0.0
Bewick's Wren,without_harmonics,OK,,left,-18.927246701568205,-18.977488081661782,-18.977488081661782,-18.977489850845387,-25.00003342536965,-0.0502413800935777,0.0,-1.7691836049493759e-06,-6.0225435745242635,-6.072786723801446,-3.1655535447336876,-3.2022674689467427,-3.2022674689467427,-3.2022674689467427,-9.224400501926414,-0.036713924213055193,0.0,0.0,-6.022133032979672,-6.058846957192727,15.761693156834518,15.775220612715039,15.775220612715039,15.775222381898644,15.775632923443236,2,2,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,2.4,24.0,0.0,0.0
Bewick's Wren,with_harmonics,OK,,left,-18.927246701568205,-18.94694948015263,-18.94694948015263,-18.94695122540046,-24.999996704779672,-0.019702778584424152,0.0,-1.745247832474206e-06,-6.053045479379211,-6.072750003211468,-3.1655535447336876,-3.1988189387056836,-3.1988189387056836,-3.1988189387056836,-9.251273994066722,-0.033265393971996016,0.0,0.0,-6.052455055361039,-6.085720449333034,15.761693156834518,15.748130541446946,15.748130541446946,15.748132286694778,15.74872271071295,2,2,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,2.4,24.0,0.0,0.0
Black Phoebe,without_harmonics,OK,,already_mono,-22.841739382379345,-22.871357226518484,-22.863778244057254,-22.863809522611568,-25.000003705889384,-0.029617844139139038,0.007578982461229344,-3.12785543137295e-05,-2.1361941832778157,-2.158264323510039,-5.678288846942834,-5.79506126618127,-5.782672760407662,-5.782672760407662,-7.919261987901645,-0.11677241923843606,0.012388505773608394,0.0,-2.1365892274939826,-2.2409731409588103,17.16345053543651,17.076295960337212,17.081105483649594,17.081136762203904,17.08074171798774,1,1,1,1,1,48000,48000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,2.85,28.5,0.0,0.0
Black Phoebe,with_harmonics,OK,,already_mono,-22.841739382379345,-22.852175828906933,-22.844567224098636,-22.844601192364923,-24.999996488092897,-0.010436446527588572,0.007608604808297059,-3.396826628687677e-05,-2.155395295727974,-2.1582571057135524,-5.678288846942834,-5.692870129816695,-5.671964224326038,-5.671964224326038,-7.827395561600358,-0.014581282873860957,0.020905905490657517,0.0,-2.1554313372743206,-2.149106714657524,17.16345053543651,17.15930569909024,17.1726029997726,17.172636968038887,17.17260092649254,1,1,1,1,1,48000,48000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,2.85,28.5,0.0,0.0
