name,id,audio_filename,sample_rate_hz,file_duration_seconds,active_intervals_seconds,total_active_duration_seconds,active_call_rms_linear,active_call_rms_dbfs,peak_frequency_hz,median_frequency_hz,spectral_centroid_hz,detected_low_hz,detected_high_hz,detected_bandwidth_hz,suggested_filter_low_hz,suggested_filter_high_hz,final_filter_low_hz,final_filter_high_without_harmonics_hz,final_filter_high_with_harmonics_hz,harmonic_test_required,decision_notes,plot_file,status,error
American Robin,ML168300,American Robin.wav,44100,10,0.550-4.900;7.600-10.000,6.75,0.071771554,-22.88095299,2890,2760,2763.021756,2050,3490,1440,1550,3990,1550,4000,15000,yes,,Frequency Range Results\spectrograms\American_Robin_frequency_range.png,OK,
Anna's Hummingbird,ML197952,Anna's Hummingbird.wav,44100,10,1.500-9.700,8.2,0.041450461,-27.64941268,6850,6900,7196.876444,3820,12770,8950,3320,13270,3000,8700,15000,yes,,Frequency Range Results\spectrograms\Anna_s_Hummingbird_frequency_range.png,OK,
Barn Sparrow,ML63124,Barn Sparrow.wav,44100,10,0.300-9.200,8.9,0.023483382,-32.58478715,4210,4100,4012.332694,1730,6320,4590,1230,6820,1230,6850,13500,yes,,Frequency Range Results\spectrograms\Barn_Sparrow_frequency_range.png,OK,
Bewick's Wren,ML191106,Bewick's Wren.wav,44100,10,0.600-3.000,2.4,0.053798551,-25.38458837,4150,4230,4529.097399,3460,6300,2840,2960,6800,2860,7000,14000,yes,,Frequency Range Results\spectrograms\Bewick_s_Wren_frequency_range.png,OK,
Black Phoebe,ML182034971,Black Phoebe.wav,48000,10,0.700-1.100;1.850-2.200;3.350-3.800;4.750-5.200;6.750-7.100;8.150-8.600;9.500-9.900,2.85,0.072096309,-22.84173938,5770,5680,5542.472233,4470,5990,1520,3970,6490,3600,6400,15000,yes,,Frequency Range Results\spectrograms\Black_Phoebe_frequency_range.png,OK,
California Towhee,ML187038,California Towhee.wav,44100,10,0.200-1.550;6.400-7.850,2.8,0.036557765,-28.74040723,4890,4930,4928.965837,2790,5880,3090,2290,6380,2100,8000,14000,yes,,Frequency Range Results\spectrograms\California_Towhee_frequency_range.png,OK,
Dark-eyed Junco,ML27611071,Dark-eyed Junco.wav,96000,10,0.950-2.700;6.700-8.550,3.6,0.065162644,-23.720026,4370,4340,4348.759784,3200,5790,2590,2700,6290,2700,6700,,no,,Frequency Range Results\spectrograms\Dark-eyed_Junco_frequency_range.png,OK,
European Starling,ML14861,European Starling.wav,44100,10,0.400-10.000,9.6,0.025523621,-31.86115427,6780,6650,6072.939938,200,8080,7880,100,8580,800,8600,,no,,Frequency Range Results\spectrograms\European_Starling_frequency_range.png,OK,
Hooded Oriole,ML245074981,Hooded Oriole.wav,44100,10,0.650-2.000;3.900-4.900;5.350-8.400;9.000-9.850,6.25,0.051980645,-25.68316665,3470,3470,3591.790401,1890,5630,3740,1390,6130,1390,5700,12000,yes,,Frequency Range Results\spectrograms\Hooded_Oriole_frequency_range.png,OK,
House Finch,ML22938,House Finch.wav,44100,10,0.450-3.150;5.450-8.000,5.25,0.114850096,-18.79737276,3740,3550,3545.706675,2620,5020,2400,2120,5520,2120,5500,14500,yes,,Frequency Range Results\spectrograms\House_Finch_frequency_range.png,OK,
