name,audio_filename,sample_rate_hz,nyquist_hz,final_filter_low_hz,final_filter_high_without_harmonics_hz,final_filter_high_with_harmonics_hz,harmonic_test_required,plot_file,status,error
American Robin,American Robin.wav,44100,22050.0,1550.0,4000.0,15000.0,yes,Frequency Range Results\filtering_boundary_review\American_Robin_cutoff_review.png,OK,
Anna's Hummingbird,Anna's Hummingbird.wav,44100,22050.0,3000.0,8700.0,15000.0,yes,Frequency Range Results\filtering_boundary_review\Anna_s_Hummingbird_cutoff_review.png,OK,
Barn Sparrow,Barn Sparrow.wav,44100,22050.0,1230.0,6850.0,13500.0,yes,Frequency Range Results\filtering_boundary_review\Barn_Sparrow_cutoff_review.png,OK,
Bewick's Wren,Bewick's Wren.wav,44100,22050.0,2860.0,7000.0,14000.0,yes,Frequency Range Results\filtering_boundary_review\Bewick_s_Wren_cutoff_review.png,OK,
Black Phoebe,Black Phoebe.wav,48000,24000.0,3600.0,6400.0,15000.0,yes,Frequency Range Results\filtering_boundary_review\Black_Phoebe_cutoff_review.png,OK,
California Towhee,California Towhee.wav,44100,22050.0,2100.0,8000.0,14000.0,yes,Frequency Range Results\filtering_boundary_review\California_Towhee_cutoff_review.png,OK,
Dark-eyed Junco,Dark-eyed Junco.wav,96000,48000.0,2700.0,6700.0,,no,Frequency Range Results\filtering_boundary_review\Dark-eyed_Junco_cutoff_review.png,OK,
European Starling,European Starling.wav,44100,22050.0,800.0,8600.0,,no,Frequency Range Results\filtering_boundary_review\European_Starling_cutoff_review.png,OK,
Hooded Oriole,Hooded Oriole.wav,44100,22050.0,1390.0,5700.0,12000.0,yes,Frequency Range Results\filtering_boundary_review\Hooded_Oriole_cutoff_review.png,OK,
House Finch,House Finch.wav,44100,22050.0,2120.0,5500.0,14500.0,yes,Frequency Range Results\filtering_boundary_review\House_Finch_cutoff_review.png,OK,
House Sparrow,House Sparrow.wav,48000,24000.0,1990.0,6800.0,15000.0,yes,Frequency Range Results\filtering_boundary_review\House_Sparrow_cutoff_review.png,OK,
Lesser Goldfinch,Lesser Goldfinch.wav,48000,24000.0,2000.0,8000.0,15000.0,yes,Frequency Range Results\filtering_boundary_review\Lesser_Goldfinch_cutoff_review.png,OK,
Mourning Dove,Mourning Dove.wav,96000,48000.0,100.0,1000.0,,no,Frequency Range Results\filtering_boundary_review\Mourning_Dove_cutoff_review.png,OK,
Northern House Wren,Northern House Wren.wav,48000,24000.0,2120.0,8000.0,15000.0,yes,Frequency Range Results\filtering_boundary_review\Northern_House_Wren_cutoff_review.png,OK,
Northern Mockingbird,Northern Mockingbird.wav,44100,22050.0,2080.0,5150.0,15000.0,yes,Frequency Range Results\filtering_boundary_review\Northern_Mockingbird_cutoff_review.png,OK,
Northern Yellow Warbler,Northern Yellow Warbler.wav,96000,48000.0,3770.0,8200.0,15000.0,yes,Frequency Range Results\filtering_boundary_review\Northern_Yellow_Warbler_cutoff_review.png,OK,
Oak Titmouse,Oak Titmouse.wav,44100,22050.0,1800.0,4760.0,12000.0,yes,Frequency Range Results\filtering_boundary_review\Oak_Titmouse_cutoff_review.png,OK,
Rock Pigeon,Rock Pigeon.wav,48000,24000.0,100.0,1010.0,,no,Frequency Range Results\filtering_boundary_review\Rock_Pigeon_cutoff_review.png,OK,
Song Sparrow,Song Sparrow.wav,48000,24000.0,2000.0,7760.0,15000.0,yes,Frequency Range Results\filtering_boundary_review\Song_Sparrow_cutoff_review.png,OK,
Spotted Towhee,Spotted Towhee.wav,44100,22050.0,2200.0,8100.0,15000.0,yes,Frequency Range Results\filtering_boundary_review\Spotted_Towhee_cutoff_review.png,OK,
