name,original_file,with_harmonics_file,without_harmonics_file,sample_rate_hz,harmonic_test_required,final_filter_low_hz,final_filter_high_without_harmonics_hz,final_filter_high_with_harmonics_hz,plot_file,status,error
American Robin,American Robin.wav,American Robin.wav,American Robin.wav,44100,yes,1550.0,4000.0,15000.0,Frequency Range Results\filtering_comparison_review\American_Robin_filtering_comparison.png,OK,
Anna's Hummingbird,Anna's Hummingbird.wav,Anna's Hummingbird.wav,Anna's Hummingbird.wav,44100,yes,3000.0,8700.0,15000.0,Frequency Range Results\filtering_comparison_review\Anna_s_Hummingbird_filtering_comparison.png,OK,
Barn Sparrow,Barn Sparrow.wav,Barn Sparrow.wav,Barn Sparrow.wav,44100,yes,1230.0,6850.0,13500.0,Frequency Range Results\filtering_comparison_review\Barn_Sparrow_filtering_comparison.png,OK,
Bewick's Wren,Bewick's Wren.wav,Bewick's Wren.wav,Bewick's Wren.wav,44100,yes,2860.0,7000.0,14000.0,Frequency Range Results\filtering_comparison_review\Bewick_s_Wren_filtering_comparison.png,OK,
Black Phoebe,Black Phoebe.wav,Black Phoebe.wav,Black Phoebe.wav,48000,yes,3600.0,6400.0,15000.0,Frequency Range Results\filtering_comparison_review\Black_Phoebe_filtering_comparison.png,OK,
California Towhee,California Towhee.wav,California Towhee.wav,California Towhee.wav,44100,yes,2100.0,8000.0,14000.0,Frequency Range Results\filtering_comparison_review\California_Towhee_filtering_comparison.png,OK,
Dark-eyed Junco,Dark-eyed Junco.wav,,Dark-eyed Junco.wav,96000,no,2700.0,6700.0,,Frequency Range Results\filtering_comparison_review\Dark-eyed_Junco_filtering_comparison.png,OK,
European Starling,European Starling.wav,,European Starling.wav,44100,no,800.0,8600.0,,Frequency Range Results\filtering_comparison_review\European_Starling_filtering_comparison.png,OK,
Hooded Oriole,Hooded Oriole.wav,Hooded Oriole.wav,Hooded Oriole.wav,44100,yes,1390.0,5700.0,12000.0,Frequency Range Results\filtering_comparison_review\Hooded_Oriole_filtering_comparison.png,OK,
House Finch,House Finch.wav,House Finch.wav,House Finch.wav,44100,yes,2120.0,5500.0,14500.0,Frequency Range Results\filtering_comparison_review\House_Finch_filtering_comparison.png,OK,
House Sparrow,House Sparrow.wav,House Sparrow.wav,House Sparrow.wav,48000,yes,1990.0,6800.0,15000.0,Frequency Range Results\filtering_comparison_review\House_Sparrow_filtering_comparison.png,OK,
Lesser Goldfinch,Lesser Goldfinch.wav,Lesser Goldfinch.wav,Lesser Goldfinch.wav,48000,yes,2000.0,8000.0,15000.0,Frequency Range Results\filtering_comparison_review\Lesser_Goldfinch_filtering_comparison.png,OK,
Mourning Dove,Mourning Dove.wav,,Mourning Dove.wav,96000,no,100.0,1000.0,,Frequency Range Results\filtering_comparison_review\Mourning_Dove_filtering_comparison.png,OK,
Northern House Wren,Northern House Wren.wav,Northern House Wren.wav,Northern House Wren.wav,48000,yes,2120.0,8000.0,15000.0,Frequency Range Results\filtering_comparison_review\Northern_House_Wren_filtering_comparison.png,OK,
Northern Mockingbird,Northern Mockingbird.wav,Northern Mockingbird.wav,Northern Mockingbird.wav,44100,yes,2080.0,5150.0,15000.0,Frequency Range Results\filtering_comparison_review\Northern_Mockingbird_filtering_comparison.png,OK,
Northern Yellow Warbler,Northern Yellow Warbler.wav,Northern Yellow Warbler.wav,Northern Yellow Warbler.wav,96000,yes,3770.0,8200.0,15000.0,Frequency Range Results\filtering_comparison_review\Northern_Yellow_Warbler_filtering_comparison.png,OK,
Oak Titmouse,Oak Titmouse.wav,Oak Titmouse.wav,Oak Titmouse.wav,44100,yes,1800.0,4760.0,12000.0,Frequency Range Results\filtering_comparison_review\Oak_Titmouse_filtering_comparison.png,OK,
Rock Pigeon,Rock Pigeon.wav,,Rock Pigeon.wav,48000,no,100.0,1010.0,,Frequency Range Results\filtering_comparison_review\Rock_Pigeon_filtering_comparison.png,OK,
Song Sparrow,Song Sparrow.wav,Song Sparrow.wav,Song Sparrow.wav,48000,yes,2000.0,7760.0,15000.0,Frequency Range Results\filtering_comparison_review\Song_Sparrow_filtering_comparison.png,OK,
Spotted Towhee,Spotted Towhee.wav,Spotted Towhee.wav,Spotted Towhee.wav,44100,yes,2200.0,8100.0,15000.0,Frequency Range Results\filtering_comparison_review\Spotted_Towhee_filtering_comparison.png,OK,
