name,id,input_filename,sample_rate_hz,original_channels,was_non_mono,left_active_rms_dbfs,right_active_rms_dbfs,middle_active_rms_dbfs,left_right_rms_difference_db,waveform_correlation,averaging_loss_db,selected_channel,selection_reason,status,error
American Robin,ML168300,American Robin.wav,44100,2,yes,-20.430900815378234,-24.411997438157464,-22.88095299193212,3.98109662277923,0.6923108419421078,-2.4500521765538856,left,Averaging was not considered safe; left had the stronger active-call RMS.,OK,
Anna's Hummingbird,ML197952,Anna's Hummingbird.wav,44100,2,yes,-25.77085187868542,-28.868684683673848,-27.649412681840737,3.0978328049884283,0.7895342885837335,-1.8785608031553167,left,Averaging was not considered safe; left had the stronger active-call RMS.,OK,
Barn Sparrow,ML63124,Barn Sparrow.wav,44100,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
Bewick's Wren,ML191106,Bewick's Wren.wav,44100,2,yes,-18.927246701568205,-21.16145061136915,-25.384588374008143,2.2342039098009465,-0.4484662906128888,-6.457341672439938,left,Averaging was not considered safe; left had the stronger active-call RMS.,OK,
Black Phoebe,ML182034971,Black Phoebe.wav,48000,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
California Towhee,ML187038,California Towhee.wav,44100,2,yes,-24.748834183654303,-24.49531172518046,-28.740407226998347,0.25352245847384225,-0.22563010149866194,-4.245095501817886,right,Averaging was not considered safe; right had the stronger active-call RMS.,OK,
Dark-eyed Junco,ML27611071,Dark-eyed Junco.wav,96000,2,yes,-20.187837608106673,-20.913023763864626,-23.720025996951367,0.7251861557579531,-0.03952041609874001,-3.5321883888446948,left,Averaging was not considered safe; left had the stronger active-call RMS.,OK,
European Starling,ML14861,European Starling.wav,44100,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
Hooded Oriole,ML245074981,Hooded Oriole.wav,44100,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
House Finch,ML22938,House Finch.wav,44100,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
House Sparrow,ML138707321,House Sparrow.wav,48000,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
Lesser Goldfinch,ML219156941,Lesser Goldfinch.wav,48000,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
Mourning Dove,ML166991841,Mourning Dove.wav,96000,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
Northern House Wren,ML107106211,Northern House Wren.wav,48000,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
Northern Mockingbird,ML534473,Northern Mockingbird.wav,44100,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
Northern Yellow Warbler,ML57524601,Northern Yellow Warbler.wav,96000,2,yes,-16.826541131084618,-15.140279129398744,-18.185453621897537,1.6862620016858738,0.18564610420278177,-3.045174492498793,right,Averaging was not considered safe; right had the stronger active-call RMS.,OK,
Oak Titmouse,ML88772,Oak Titmouse.wav,44100,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
Rock Pigeon,ML44449551,Rock Pigeon.wav,48000,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
Song Sparrow,ML43973911,Song Sparrow.wav,48000,2,yes,-19.063771336288934,-19.227994946435683,-19.553368006758557,0.1642236101467489,0.8207020271938196,-0.4895966704696235,left,Averaging was not considered safe; left had the stronger active-call RMS.,OK,
Spotted Towhee,ML55077,Spotted Towhee.wav,44100,1,no,,,,,,,already_mono,Trimmed source was already mono.,OK,
