name,branch,input_file,output_file,sample_rate_hz,channels,fade_ms,inactive_after_max_abs,status,error
American Robin,without_harmonics,American Robin.wav,American Robin.wav,44100,1,8.0,0.0,OK,
American Robin,with_harmonics,American Robin.wav,American Robin.wav,44100,1,8.0,0.0,OK,
Anna's Hummingbird,without_harmonics,Anna's Hummingbird.wav,Anna's Hummingbird.wav,44100,1,8.0,0.0,OK,
Anna's Hummingbird,with_harmonics,Anna's Hummingbird.wav,Anna's Hummingbird.wav,44100,1,8.0,0.0,OK,
Barn Sparrow,without_harmonics,Barn Sparrow.wav,Barn Sparrow.wav,44100,1,8.0,0.0,OK,
Barn Sparrow,with_harmonics,Barn Sparrow.wav,Barn Sparrow.wav,44100,1,8.0,0.0,OK,
Bewick's Wren,without_harmonics,Bewick's Wren.wav,Bewick's Wren.wav,44100,1,8.0,0.0,OK,
Bewick's Wren,with_harmonics,Bewick's Wren.wav,Bewick's Wren.wav,44100,1,8.0,0.0,OK,
Black Phoebe,without_harmonics,Black Phoebe.wav,Black Phoebe.wav,44100,1,8.0,0.0,OK,
Black Phoebe,with_harmonics,Black Phoebe.wav,Black Phoebe.wav,44100,1,8.0,0.0,OK,
California Towhee,without_harmonics,California Towhee.wav,California Towhee.wav,44100,1,8.0,0.0,OK,
California Towhee,with_harmonics,California Towhee.wav,California Towhee.wav,44100,1,8.0,0.0,OK,
Dark-eyed Junco,without_harmonics,Dark-eyed Junco.wav,Dark-eyed Junco.wav,44100,1,8.0,0.0,OK,
European Starling,without_harmonics,European Starling.wav,European Starling.wav,44100,1,8.0,0.0,OK,
Hooded Oriole,without_harmonics,Hooded Oriole.wav,Hooded Oriole.wav,44100,1,8.0,0.0,OK,
Hooded Oriole,with_harmonics,Hooded Oriole.wav,Hooded Oriole.wav,44100,1,8.0,0.0,OK,
House Finch,without_harmonics,House Finch.wav,House Finch.wav,44100,1,8.0,0.0,OK,
House Finch,with_harmonics,House Finch.wav,House Finch.wav,44100,1,8.0,0.0,OK,
House Sparrow,without_harmonics,House Sparrow.wav,House Sparrow.wav,44100,1,8.0,0.0,OK,
House Sparrow,with_harmonics,House Sparrow.wav,House Sparrow.wav,44100,1,8.0,0.0,OK,
Lesser Goldfinch,without_harmonics,Lesser Goldfinch.wav,Lesser Goldfinch.wav,44100,1,8.0,0.0,OK,
Lesser Goldfinch,with_harmonics,Lesser Goldfinch.wav,Lesser Goldfinch.wav,44100,1,8.0,0.0,OK,
Mourning Dove,without_harmonics,Mourning Dove.wav,Mourning Dove.wav,44100,1,8.0,0.0,OK,
Northern House Wren,without_harmonics,Northern House Wren.wav,Northern House Wren.wav,44100,1,8.0,0.0,OK,
Northern House Wren,with_harmonics,Northern House Wren.wav,Northern House Wren.wav,44100,1,8.0,0.0,OK,
Northern Mockingbird,without_harmonics,Northern Mockingbird.wav,Northern Mockingbird.wav,44100,1,8.0,0.0,OK,
Northern Mockingbird,with_harmonics,Northern Mockingbird.wav,Northern Mockingbird.wav,44100,1,8.0,0.0,OK,
Northern Yellow Warbler,without_harmonics,Northern Yellow Warbler.wav,Northern Yellow Warbler.wav,44100,1,8.0,0.0,OK,
Northern Yellow Warbler,with_harmonics,Northern Yellow Warbler.wav,Northern Yellow Warbler.wav,44100,1,8.0,0.0,OK,
Oak Titmouse,without_harmonics,Oak Titmouse.wav,Oak Titmouse.wav,44100,1,8.0,0.0,OK,
Oak Titmouse,with_harmonics,Oak Titmouse.wav,Oak Titmouse.wav,44100,1,8.0,0.0,OK,
Rock Pigeon,without_harmonics,Rock Pigeon.wav,Rock Pigeon.wav,44100,1,8.0,0.0,OK,
Song Sparrow,without_harmonics,Song Sparrow.wav,Song Sparrow.wav,44100,1,8.0,0.0,OK,
Song Sparrow,with_harmonics,Song Sparrow.wav,Song Sparrow.wav,44100,1,8.0,0.0,OK,
Spotted Towhee,without_harmonics,Spotted Towhee.wav,Spotted Towhee.wav,44100,1,8.0,0.0,OK,
Spotted Towhee,with_harmonics,Spotted Towhee.wav,Spotted Towhee.wav,44100,1,8.0,0.0,OK,
