name,id,active_intervals_seconds
American Robin,ML168300,0.55-4.9;7.60-10.00
Anna's Hummingbird,ML197952,1.50-9.70
Barn Sparrow,ML63124,0.30-9.20
Bewick's Wren,ML191106,0.60-3.00
Black Phoebe,ML182034971,0.70-1.10;1.85-2.20;3.35-3.80;4.75-5.20;6.75-7.10;8.15-8.60;9.50-9.90
California Towhee,ML187038,0.20-1.55;6.40-7.85
Dark-eyed Junco,ML27611071,0.95-2.70;6.70-8.55
European Starling,ML14861,0.40-10.40
Hooded Oriole,ML245074981,0.65-2.00;3.90-4.90;5.35-8.40;9.00-9.85
House Finch,ML22938,0.45-3.15;5.45-8.00
House Sparrow,ML138707321,0.000-0.152;0.312-0.592;0.692-0.992;1.242-1.492;1.692-1.942;2.082-2.342;2.592-2.842;3.022-3.292;3.442-3.792;3.992-4.292;4.592-4.892;5.142-5.392;5.492-5.800;5.942-6.142;6.292-6.592;6.742-7.012;7.242-7.500;7.722-8.100;8.192-8.492;8.812-9.050;9.150-9.442;9.542-9.842
Lesser Goldfinch,ML219156941,0.000-4.542;5.142-9.992
Mourning Dove,ML166991841,2.00-3.45;3.70-4.60;4.90-5.40;5.55-6.40;7.00-7.10;7.30-8.10
Northern House Wren,ML107106211,0.3-3.10;5.30-8.80
Northern Mockingbird,ML534473,0.00-0.45;1.35-2.55;4.15-5.30;6.00-7.45;8.32-9.28;
Northern Yellow Warbler,ML57524601,4.65-6.10
Oak Titmouse,ML88772,0.20-1.50;3.40-4.40;6.65-8.10;9.10-10.00
Rock Pigeon,ML44449551,0.10-1.15;2.50-3.25;5.20-6.10;7.90-8.90;
Song Sparrow,ML43973911,3.00-5.65
Spotted Towhee,ML55077,0.20-1.50;6.10-7.45
